,record_id,sim_1_ranks,sim_2_ranks,sim_3_ranks,sim_4_ranks,sim_5_ranks,sim_6_ranks,sim_7_ranks,sim_8_ranks,sim_9_ranks,sim_10_ranks,sim_11_ranks,sim_12_ranks,sim_13_ranks,sim_14_ranks,sim_15_ranks,sim_16_ranks,sim_17_ranks,sim_18_ranks,sim_19_ranks,sim_20_ranks,sim_21_ranks,sim_22_ranks,sim_23_ranks,sim_24_ranks,sim_25_ranks,sim_26_ranks,sim_27_ranks,sim_28_ranks,sim_29_ranks,sim_30_ranks,sim_31_ranks,sim_32_ranks,sim_33_ranks,sim_34_ranks,sim_35_ranks,sim_36_ranks,sim_37_ranks,sim_38_ranks,sim_39_ranks,sim_40_ranks,sim_41_ranks,sim_42_ranks,sim_43_ranks,sim_44_ranks,sim_45_ranks,sim_46_ranks,sim_47_ranks,sim_48_ranks
0,88,0,4,16,9,2,6,19,7,2,19,18,13,7,7,13,6,14,8,12,4,5,6,13,12,1,1,13,11,16,11,9,6,13,16,14,15,15,14,7,6,7,15,16,8,17,10,4,8
1,400,17,0,35,16,16,16,37,15,16,37,37,27,17,17,33,16,34,16,32,1,17,17,33,20,17,16,21,29,27,29,15,17,33,35,34,34,35,34,16,17,17,35,35,19,36,28,2,18
2,466,42,41,0,38,38,38,18,41,38,40,40,41,43,39,8,38,8,38,10,41,39,39,8,37,39,39,38,41,40,41,39,39,8,9,8,10,13,8,41,39,42,9,10,38,4,41,41,43
3,490,11,15,26,0,11,11,30,12,11,29,28,22,13,12,22,11,23,13,23,15,16,11,22,16,11,12,4,21,22,21,11,11,22,26,23,25,25,23,13,11,11,26,26,12,27,21,15,12
4,542,1,5,25,8,0,8,29,9,1,28,27,19,9,9,20,8,20,10,19,5,4,8,20,11,9,9,12,20,20,20,8,8,20,25,20,23,23,20,9,8,9,24,25,10,26,20,5,10
5,588,4,7,17,2,4,0,24,1,4,23,22,12,2,1,14,1,15,2,13,7,8,2,14,5,3,2,6,14,13,14,3,1,14,17,15,18,16,15,3,1,3,18,18,3,20,15,7,4
6,624,26,26,12,26,26,27,0,26,26,3,3,2,27,26,34,27,32,26,35,26,27,26,34,27,27,26,26,1,2,2,26,26,34,14,32,13,32,32,26,26,26,12,13,26,13,3,26,27
7,733,13,16,27,12,13,13,34,0,13,31,31,20,12,13,24,13,25,14,22,16,15,13,24,14,14,13,15,22,23,22,13,13,24,27,25,26,26,25,12,13,13,28,27,13,31,22,16,14
8,734,2,6,24,7,1,7,27,8,0,27,26,18,8,8,19,7,19,9,18,6,3,7,19,10,8,8,11,19,19,19,7,7,19,24,19,22,22,19,8,7,8,23,24,9,25,19,6,9
9,753,31,38,40,40,40,39,3,39,40,0,1,39,38,40,38,39,39,39,40,38,42,40,38,41,41,40,40,6,5,6,41,40,38,39,39,38,41,39,38,40,31,39,40,39,40,1,38,39
10,758,32,39,41,41,41,41,12,40,41,13,0,38,39,41,39,41,40,41,41,39,43,41,39,42,40,41,41,39,39,39,42,41,39,40,40,39,40,40,39,41,32,40,41,41,41,33,39,40
11,1395,33,42,43,42,42,40,43,42,42,43,42,0,40,43,41,40,41,43,43,42,40,43,41,44,38,38,43,3,1,3,38,43,41,41,41,42,43,41,40,43,33,42,38,43,39,43,42,42
12,1405,19,18,29,17,17,18,20,17,17,30,29,24,0,18,27,18,27,19,24,18,19,18,27,21,18,18,19,24,24,24,18,18,27,28,27,28,28,27,18,18,19,27,29,17,28,24,18,16
13,1888,12,3,19,13,12,12,5,13,12,6,6,9,14,0,23,12,24,1,21,3,13,12,23,15,13,11,16,5,7,5,12,12,23,21,24,24,20,24,14,12,12,17,17,14,18,6,3,13
14,1891,40,32,2,31,31,29,15,29,31,17,15,36,32,30,0,29,5,34,7,32,33,30,1,30,29,36,29,37,34,37,29,30,2,6,5,7,10,5,36,30,40,6,1,29,1,39,32,35
15,1959,3,8,21,3,3,1,25,2,3,24,23,14,3,2,15,0,16,5,16,8,7,3,15,4,2,3,7,16,14,16,4,2,15,18,16,19,19,16,4,2,4,21,21,2,22,16,8,5
16,2010,23,19,7,20,20,19,7,23,20,7,8,7,19,20,4,19,0,24,2,19,20,20,4,23,19,19,23,7,8,7,22,20,4,2,1,1,4,1,20,20,23,1,6,23,7,7,19,24
17,2255,25,25,14,25,25,24,4,25,25,2,4,8,26,25,35,24,35,0,34,25,26,25,35,26,25,25,27,4,6,4,25,25,35,36,35,35,37,35,25,25,25,14,14,25,14,2,25,26
18,2312,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,0,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
19,2377,15,1,34,14,14,14,38,14,14,36,36,25,15,15,32,14,33,15,31,0,2,15,32,17,15,14,17,26,25,26,14,15,32,34,33,33,34,33,15,15,15,34,34,15,35,27,1,17
