,record_id,td_1,td_2,td_3,td_4,td_5,td_6,td_7,td_8,td_9,td_10,td_11,td_12,td_13,td_14,td_15,td_16,td_17,td_18,td_19,td_20,td_21,td_22,td_23,td_24,td_25,td_26,td_27,td_28,td_29,td_30,td_31,td_32,td_33,td_34,td_35,td_36,td_37,td_38,td_39,td_40,td_41,td_42,td_43,td_44,td_45,td_46,td_47,td_48
0,88,0,16,59,14,3,12,79,14,3,79,78,54,20,11,40,12,50,17,84,16,45,7,40,53,2,2,50,47,76,47,17,10,40,79,50,54,72,50,10,10,11,60,54,18,58,40,16,13
1,400,76,0,141,53,53,60,148,56,53,148,155,115,63,75,147,60,172,53,173,3,102,75,147,107,76,55,104,115,123,115,58,75,147,159,172,162,171,172,62,75,76,170,149,84,159,102,7,75
2,466,260,250,0,232,232,245,74,265,232,205,227,256,283,246,18,245,19,246,72,250,265,246,18,230,249,235,237,241,234,241,250,246,18,44,19,31,66,19,259,246,260,24,33,249,8,236,250,271
3,490,24,43,81,0,23,24,99,24,23,99,99,77,35,27,52,24,64,30,102,43,69,24,52,73,19,27,36,65,94,65,27,24,52,100,64,75,91,64,24,21,24,84,73,30,81,65,43,24
4,542,2,18,75,12,0,14,93,16,1,92,90,63,25,16,48,14,56,21,93,18,44,14,48,51,15,14,47,58,81,58,16,13,48,97,56,67,84,56,13,13,13,71,70,20,73,59,18,16
5,588,6,20,61,3,6,0,84,2,6,84,82,53,15,2,41,1,51,6,85,20,48,2,41,43,6,3,39,50,70,50,6,1,41,86,51,59,73,51,4,4,4,64,60,10,63,49,20,6
6,624,146,152,40,146,146,171,0,151,146,13,7,17,151,143,153,171,152,137,215,152,183,143,153,174,155,146,159,1,22,2,156,143,153,74,152,42,158,152,164,143,146,33,46,146,38,13,152,132
7,733,32,47,83,26,26,29,131,0,26,106,114,72,34,31,60,29,69,37,99,47,64,31,60,63,32,29,59,68,100,68,29,31,60,102,69,80,92,69,23,29,29,95,82,32,103,68,47,29
8,734,3,19,74,11,1,13,91,15,0,91,89,62,24,15,47,13,55,20,92,19,43,13,47,50,14,13,46,57,80,57,15,12,47,96,55,66,83,55,12,12,12,70,69,19,72,58,19,15
9,753,191,236,247,243,243,258,14,255,243,0,3,240,234,249,223,258,229,257,281,236,273,249,223,259,252,247,255,25,34,25,267,249,223,257,229,233,243,229,234,249,191,247,253,257,245,9,236,253
10,758,203,242,254,253,253,260,51,256,253,60,0,239,235,250,232,260,237,260,286,242,274,250,232,268,250,252,257,217,225,217,269,250,232,258,237,234,242,237,235,250,203,253,254,260,252,201,242,254
11,1395,210,273,300,276,276,259,278,282,276,316,290,0,249,283,259,259,248,283,326,273,267,283,259,282,237,230,281,14,13,14,249,283,259,266,248,288,304,248,249,283,210,296,237,284,238,275,273,266
12,1405,81,78,103,71,71,74,80,74,71,102,102,89,0,79,80,74,99,78,127,78,107,79,80,108,78,73,101,81,105,81,74,79,80,114,99,91,114,99,73,79,81,90,93,79,85,87,78,62
13,1888,26,14,63,29,25,26,18,31,25,24,20,46,36,0,55,26,65,2,98,14,58,26,55,65,26,25,62,21,39,21,28,26,55,91,65,71,79,65,28,23,27,63,58,34,60,24,14,25
14,1891,237,214,10,212,212,204,68,218,212,69,64,210,217,201,0,204,10,226,65,214,231,201,1,209,197,222,204,213,207,213,201,201,2,35,10,18,55,10,220,201,237,12,4,209,2,217,214,218
