,record_id,td_1,td_2,td_3,td_4,td_5,td_6,td_7,td_8,td_9,td_10
0,2,41,52,133,46,89,26,77,36,40,106
1,12,106,187,107,58,50,148,98,197,144,70
2,17,34,42,87,21,36,83,8,78,77,22
3,21,64,64,65,24,8,78,50,97,78,45
4,23,153,116,13,147,137,17,213,146,79,135
5,27,94,14,92,31,27,32,37,40,25,59
6,28,214,74,106,64,71,137,96,280,138,119
7,30,141,63,11,102,110,93,177,145,107,39
8,31,56,60,34,90,116,98,194,89,29,167
9,33,52,200,38,160,133,236,97,220,146,164
10,38,65,12,55,19,4,35,29,43,27,32
11,49,219,135,144,110,113,105,240,274,115,132
12,57,103,123,128,74,109,85,52,88,98,107
13,59,85,31,82,10,9,29,3,55,72,53
14,62,95,218,230,185,47,121,111,86,83,248
15,64,155,143,3,136,127,72,113,199,136,6
16,72,142,119,4,132,101,82,119,168,142,5
17,73,120,133,19,137,65,9,23,193,114,61
18,82,78,33,76,7,28,42,6,50,65,31
19,97,132,140,44,66,76,123,87,119,122,48
20,104,225,160,47,113,178,158,199,278,241,115
21,108,31,81,81,18,2,64,82,37,93,60
22,110,35,85,10,121,90,4,112,82,85,58
23,114,9,66,58,89,144,24,175,127,30,21
24,115,190,152,137,70,171,132,78,187,160,157
25,116,13,11,40,11,96,34,71,21,13,12
26,127,187,147,14,150,136,18,235,266,87,138
27,135,55,77,69,27,3,81,27,45,51,35
28,138,158,155,54,93,14,120,197,125,106,50
29,139,98,183,123,65,159,139,53,114,135,104
30,143,212,72,104,56,82,134,76,215,132,69
31,150,1,5,90,49,163,36,22,8,9,109
32,161,250,197,235,209,259,161,273,269,235,179
33,164,193,92,248,263,119,48,171,261,108,266
34,168,167,144,2,135,128,13,118,201,134,4
35,172,149,170,164,109,83,143,65,158,152,154
36,173,136,134,134,112,122,97,132,217,99,103
37,174,147,189,118,62,226,131,147,223,147,88
38,175,116,49,100,26,39,46,9,79,17,13
39,183,162,109,8,140,98,5,158,154,86,9
40,187,77,38,85,36,25,45,26,47,59,51
41,189,238,101,6,97,272,95,106,230,116,28
42,193,100,19,64,3,21,30,5,60,82,30
43,196,278,244,196,236,211,214,298,320,275,166
44,205,67,84,16,139,67,20,102,105,81,134
45,209,99,10,88,16,55,61,2,95,42,15
46,215,201,55,202,202,262,156,135,81,162,191
47,222,148,249,188,219,286,183,260,138,259,275
48,231,83,22,72,5,40,31,13,69,69,74
49,240,198,174,150,114,232,146,212,292,155,105
50,242,176,110,12,146,138,19,208,150,58,136
51,243,177,146,15,152,135,16,220,148,109,137
52,247,69,26,78,44,1,116,20,98,44,40
53,249,51,40,73,32,41,77,7,76,172,24
54,263,160,201,17,149,139,101,210,209,47,139
55,265,82,129,103,53,49,109,74,126,118,65
56,266,14,3,60,22,26,67,121,23,6,34
57,275,59,47,67,25,6,57,59,49,88,38
58,278,186,62,101,54,66,133,63,206,141,68
59,279,71,44,75,38,103,55,73,7,91,76
60,282,16,78,205,275,202,181,206,245,54,235
61,283,79,43,80,15,37,43,17,30,57,54
62,286,161,58,109,60,94,130,55,166,139,90
63,287,188,15,68,8,77,39,146,53,22,44
64,289,102,46,91,41,97,135,45,85,140,67
65,294,11,57,98,161,220,62,205,13,16,140
66,298,22,6,61,23,48,51,131,51,113,33
67,300,242,139,142,71,174,140,91,270,126,159
68,307,54,53,120,43,92,75,18,96,28,86
69,310,112,29,43,96,112,37,178,100,68,62
70,314,87,37,77,12,31,38,10,39,67,46
71,318,229,168,153,178,194,173,54,231,203,155
72,322,76,132,45,95,52,96,109,99,101,81
73,344,117,108,99,52,64,104,80,159,117,64
74,345,91,25,70,29,45,54,25,41,74,37
75,350,127,131,121,57,187,129,90,163,150,92
76,353,143,161,59,175,193,164,243,171,185,168
77,357,137,115,129,85,182,88,99,140,38,112
78,358,73,34,79,13,34,44,12,56,64,49
