,record_id,td_1,td_2,td_3,td_4,td_5,td_6,td_7,td_8,td_9,td_10
0,51,82,311,112,108,245,79,109,320,122,135
1,116,170,6,79,77,101,22,194,145,47,104
2,462,180,14,44,60,197,23,209,185,31,49
3,730,270,38,194,129,149,32,280,167,50,195
4,767,159,81,120,57,236,61,29,151,81,59
5,831,149,24,127,86,196,25,13,146,73,130
6,902,317,80,30,30,194,142,38,414,185,28
7,953,193,139,63,72,635,45,204,240,75,72
8,1033,283,45,104,101,134,50,53,389,42,97
9,1180,74,42,105,102,93,49,61,164,41,95
10,1248,133,91,52,51,63,170,84,213,145,47
11,1356,140,58,71,74,95,63,170,223,38,70
12,1429,303,346,86,185,126,1143,178,375,258,99
13,1514,141,21,96,112,381,8,125,137,60,94
14,1565,551,155,137,268,1694,230,835,544,256,131
15,1746,91,92,31,31,155,135,22,300,200,29
16,1881,314,1109,7,7,110,734,54,487,1420,9
17,1994,306,163,155,90,341,88,234,358,208,175
18,2279,131,40,97,100,153,40,4,194,4,103
19,2496,255,17,49,61,97,12,212,245,24,55
20,2545,196,359,3,2,107,314,70,49,207,6
21,2624,44,72,67,67,71,48,18,74,116,63
22,2740,607,384,159,116,710,698,588,587,833,134
23,2803,273,395,73,79,201,254,106,174,247,77
24,3076,102,79,78,71,83,30,116,105,71,64
25,3314,324,200,135,149,228,169,108,364,259,177
26,3442,447,149,958,685,258,159,2264,412,170,1240
27,3608,111,49,103,98,169,47,36,273,121,91
28,3680,260,150,48,54,151,190,52,238,158,41
29,3769,137,62,42,45,62,72,82,209,154,44
30,3842,168,55,74,70,68,65,39,237,54,71
31,4154,298,161,152,115,156,90,136,173,211,185
32,4201,42,39,122,124,147,38,99,187,3,118
33,4269,81,41,108,97,94,42,76,168,30,83
34,4327,272,18,82,88,177,5,182,115,58,89
35,4377,208,138,62,80,103,37,159,136,86,96
36,4461,164,78,40,34,260,87,24,248,94,27
