doi,title,abstract,label_included
https://doi.org/10.1177/1947603519890754,Morphological Assessment of MACI Grafts in Patients with Revision Surgery and Total Joint Arthroplasty,"To compare the histological and immunohistochemical characteristics of matrix-assisted chondrocyte implantation (MACI) grafts between patients with revision surgery and patients with total joint arthroplasty.Biopsies of MACI grafts from patients with revision and total joint arthroplasty. The graft tissue characteristics and subchondral bone were examined by qualitative histology, ICRS (International Cartilage Repair Society) II scoring and semiquantitative immunohistochemistry using antibodies specific to type I and type II collagen.A total of 31 biopsies were available, 10 undergoing total knee arthroplasty (TKA) and 21 patients undergoing revision surgery. Patients in the clinically failed group were significantly older (46.3 years) than patients in the revision group (36.6 years) (P = 0.007). Histologically, the predominant tissue in both groups was of fibrocartilaginous nature, although a higher percentage of specimens in the revision group contained a hyaline-like repair tissue. The percentages of type I collagen (52.9% and 61.0%) and type II collagen (66.3% and 42.2%) were not significantly different between clinically failed and revised MACI, respectively. The talar dome contained the best and patella the worst repair tissue. Subchondral bone pathology was present in all clinically failed patients and consisted of bone marrow lesions, including edema, necrosis and fibrosis, intralesional osteophyte formation, subchondral bone plate elevation, intralesional osteophyte formation, subchondral bone cyst formation, or combinations thereof.MACI grafts in patients with revision and total joint arthroplasty were predominantly fibrocartilage in repair type, did not differ in composition and were histologically dissimilar to healthy cartilage. Clinically failed cases showed evidence of osteochondral unit failure, rather than merely cartilage repair tissue failure. The role of the subchondral bone in relation to pain and failure and the pathogenesis warrants further investigation.",0
https://doi.org/10.1007/s10529-015-1975-1,Three-dimensional bioprinting in tissue engineering and regenerative medicine,"With the advances of stem cell research, development of intelligent biomaterials and three-dimensional biofabrication strategies, highly mimicked tissue or organs can be engineered. Among all the biofabrication approaches, bioprinting based on inkjet printing technology has the promises to deliver and create biomimicked tissue with high throughput, digital control, and the capacity of single cell manipulation. Therefore, this enabling technology has great potential in regenerative medicine and translational applications. The most current advances in organ and tissue bioprinting based on the thermal inkjet printing technology are described in this review, including vasculature, muscle, cartilage, and bone. In addition, the benign side effect of bioprinting to the printed mammalian cells can be utilized for gene or drug delivery, which can be achieved conveniently during precise cell placement for tissue construction. With layer-by-layer assembly, three-dimensional tissues with complex structures can be printed using converted medical images. Therefore, bioprinting based on thermal inkjet is so far the most optimal solution to engineer vascular system to the thick and complex tissues. Collectively, bioprinting has great potential and broad applications in tissue engineering and regenerative medicine. The future advances of bioprinting include the integration of different printing mechanisms to engineer biphasic or triphasic tissues with optimized scaffolds and further understanding of stem cell biology.",0
https://doi.org/10.1002/stem.2475,Allogeneic Mesenchymal Stem Cells Stimulate Cartilage Regeneration and Are Safe for Single-Stage Cartilage Repair in Humans upon Mixture with Recycled Autologous Chondrons,"Abstract Traditionally, mesenchymal stem cells (MSCs) isolated from adult bone marrow were described as being capable of differentiating to various lineages including cartilage. Despite increasing interest in these MSCs, concerns regarding their safety, in vivo behavior and clinical effectiveness have restrained their clinical application. We hypothesized that MSCs have trophic effects that stimulate recycled chondrons (chondrocytes with their native pericellular matrix) to regenerate cartilage. Searching for a proof of principle, this phase I (first-in-man) clinical trial applied allogeneic MSCs mixed with either 10% or 20% recycled autologous cartilage-derived cells (chondrons) for treatment of cartilage defects in the knee in symptomatic cartilage defect patients. This unique first in man series demonstrated no treatment-related adverse events up to one year postoperatively. At 12 months, all patients showed statistically significant improvement in clinical outcome compared to baseline. Magnetic resonance imaging and second-look arthroscopies showed completely filled defects with regenerative cartilage tissue. Histological analysis on biopsies of the grafts indicated hyaline-like regeneration with a high concentration of proteoglycans and type II collagen. Short tandem repeat analysis showed the regenerative tissue only contained patient-own DNA. These findings support the novel insight that the use of allogeneic MSCs is safe and opens opportunities for other applications. Stem cell-induced paracrine mechanisms may play an important role in the chondrogenesis and successful tissue regeneration found.",0
https://doi.org/10.1136/jisakos-2019-000380,Surgical treatment of complex meniscus tear and disease: state of the art,"The meniscus is important for load distribution, shock absorption and stability of the knee joint. Meniscus injury or meniscectomy results in decreased function of the meniscus and increased risk of knee osteoarthritis. To preserve the meniscal functions, meniscal repair should be considered as the first option for meniscus injury. Although reoperation rates are higher after meniscal repair compared with arthroscopic partial meniscectomy, long-term follow-up of meniscal repair demonstrated better clinical outcomes and less severe degenerative changes of osteoarthritis compared with partial meniscectomy. In the past, the indication of a meniscal repair was limited both because of technical reasons and due to the localised vascularity of the meniscus. Meanwhile, it spreads today as the development of the concept to preserve the meniscus and the improvement of meniscal repair techniques. Longitudinal vertical tears in the peripheral third are considered the ‘gold standard' indication in terms of meniscus healing. Techniques for meniscal repair include ‘inside-out', ‘outside-in' and ‘all-inside' strategies. Surgical decision-making depends on the type, size and location of the meniscus injury. Meniscal root tears substantially affect meniscal hoop function and accelerate cartilage degeneration; therefore, meniscus root repair is necessary to prevent the progression of osteoarthritis change. For symptomatic meniscus defects after meniscectomy, transplantation of allograft or collagen meniscus implant may be indicated, and acceptable clinical results have been obtained. Recently, meniscus extrusion has attracted attention due to increased interest in early osteoarthritis. The centralisation techniques have been proposed to reduce the meniscus extrusion by suturing the meniscus-capsule complex to the edge of the tibial plateau. Long-term clinical outcomes of this procedure may change the strategy of treating meniscus extrusion. When malalignment of the lower leg is accompanied with meniscus pathologies, knee osteotomies are a reasonable option to protect the repaired meniscus by unloading the pathological compartment. Advancements in biological augmentation such as bone marrow stimulation, fibrin clot, platelet-rich plasma, stem cell therapy and scaffolds have also expanded the indications for meniscus surgery. In summary, improved repair techniques and biological augmentation have made meniscus repair more appealing to treat that had previously been considered irreparable. However, further research would be necessary to validate the efficacy of these specialised technique.",0
https://doi.org/10.1016/j.msec.2015.01.082,Chondrogenesis of human bone marrow mesenchymal stromal cells in highly porous alginate-foams supplemented with chondroitin sulfate,"To overcome the limited intrinsic cartilage repair, autologous chondrocyte or bone-marrow-derived mesenchymal stromal cell (BM-MSC) was implanted into cartilage defects. For this purpose suitable biocompatible scaffolds are needed to provide cell retention, chondrogenesis and initial mechanical stability. The present study should indicate whether a recently developed highly porous alginate (Alg) foam scaffold supplemented with chondroitin sulfate (CS) allows the attachment, survival and chondrogenesis of BM-MSCs and articular chondrocytes. The foams were prepared using a freeze-drying method; some of them were supplemented with CS and subsequently characterized for porosity, biodegradation and mechanical profile. BM-MSCs were cultured for 1-2 weeks on the scaffold either under chondrogenic or maintenance conditions. Cell vitality assays, histology, glycosaminoglycan (sGAG) assay, and type II and I collagen immunolabelings were performed to monitor cell growth and extracellular matrix (ECM) synthesis in the scaffolds. Scaffolds had a high porosity ~93-95% with a mean pore sizes of 237±48 μm (Alg) and 197±61 μm (Alg/CS). Incorporation of CS increased mechanical strength of the foams providing gradually CS release over 7 days. Most of the cells survived in the scaffolds. BM-MSCs and articular chondrocytes formed rounded clusters within the scaffold pores. The BM-MSCs, irrespective of whether cultured under non/chondrogenic conditions and chondrocytes produced an ECM containing sGAGs, and types II and I collagen. Total collagen and sGAG contents were higher in differentiated BM-MSC cultures supplemented with CS than in CS-free foams after 14 days. The cell cluster formation induced by the scaffolds might stimulate chondrogenesis via initial intense cell-cell contacts.",0
https://doi.org/10.1186/s12891-016-1051-6,Weekly injections of Hylan G-F 20 delay cartilage degeneration in partial meniscectomized rat knees,"Cross-linked hyaluronan--also called Hylan G-F 20--is a medical device developed to treat osteoarthritis of the knee. However, it is still controversial whether Hylan G-F 20 has a cartilage protective effect in trauma-induced osteoarthritis. We investigated whether Hylan G-F 20 delayed osteoarthritis progression in a partial meniscectomized rat model.Lewis rats were used for the experiments. The anterior medial meniscus was resected at the level of the medial collateral ligament in both knees. From 1 week after the surgery, 50 μl of Hylan G-F 20 was injected weekly into the left knee and phosphate buffered saline was injected into the right knee. Cartilage was evaluated for macroscopic findings, histology with safranin-o, and expression of type II collagen at 2, 4, and 8 weeks. Synovitis was also evaluated, and immunohistochemical analysis was performed for ED1.Macroscopic findings demonstrated that India ink positive area, representing fibrillated cartilage, was significantly smaller in the Hylan G-F 20 group than in the control group at 2, 4, and 8 weeks (n = 5). There were no significant differences in osteophyte score between the Hylan G-F 20 group and the control group at 2, 4, and 8 weeks. Histologically, the cartilage in the medial tibial plateau was destroyed at 8 weeks in the control group, while type II collagen expression was still observed at 8 weeks in the Hylan G-F 20 group. OARSI score for cartilage histology was significantly lower in the Hylan G-F 20 group than in the control group at 4 and 8 weeks (n = 5). There were no significant differences in synovial cell number or modified synovitis score between the Hylan G-F 20 group and the control group at 2, 4, and 8 weeks (n = 5). In the Hylan G-F 20 group, foreign bodies surrounded by ED1 positive macrophages were observed in the synovium.Weekly injections of Hylan G-F 20 starting 1 week after surgery delayed cartilage degeneration after meniscectomy in a rat model. Synovitis induced by meniscectomy was not alleviated by Hylan G-F 20. Insoluble gels were observed in the synovium after the Hylan G-F 20 injection.",0
https://doi.org/10.2106/jbjs.m.01041,Weight-Bearing Compared with Non-Weight-Bearing Following Osteochondral Autograft Transfer for Small Defects in Weight-Bearing Areas in the Femoral Articular Cartilage of the Knee,"Patients are routinely kept non-weight-bearing for four to eight weeks following osteochondral autograft transfer to repair cartilage defects of the medial and/or lateral femoral condyle. Therefore, the objective of this novel study was to investigate whether postoperative weight-bearing restrictions affect the outcomes of cartilage repair when an osteochondral autograft transfer system is used to repair small defects in weight-bearing areas of femoral articular cartilage.This a retrospective comparative study. Following review of the charts on 567 consecutive arthroscopic osteochondral autograft transfers, three homogeneous groups of patients with consecutive cases were identified: group A, cases of patients who were non-weight-bearing following the procedure (n = 68); group B, cases of those who were non-weight-bearing following the procedure with concomitant anterior cruciate ligament reconstruction (n = 29); and group C, cases of those who were weight-bearing as tolerated following the procedure (n = 437). The cases of patients whose knees underwent second-look (repeat) arthroscopy were stratified into two subgroups: non-weight-bearing (n = 20) and weight-bearing as tolerated (n = 42). Graft position and manifestation of a repair-adjacent defect (Outerbridge grade-III or IV cartilage defect that develops adjacent to the original osteochondral autograft transfer repair) were assessed during second-look arthroscopy. Cartilage repair was retrospectively assessed from second-look arthroscopy pictures by a blinded, independent orthopaedic surgeon with use of the International Cartilage Repair Society macroscopic cartilage-repair assessment tool. Postoperative complication rates were compared among the three primary groups.The mean grafted area was 0.72 cm(2) (range, 0.16 to 1.45 cm(2)) and 0.73 cm(2) (range, 0.16 to 1.80 cm(2)) for the non-weight-bearing and weight-bearing-as-tolerated second-look subgroups, respectively. The mean International Cartilage Repair Society score was 11.12 and 11.25 points (near-normal cartilage) for the non-weight-bearing and weight-bearing-as-tolerated subgroups (p = 0.71) at a mean follow-up of 42.7 and 33.0 months, respectively. There was no significant difference in the duration of follow-up (p = 0.58), repair-adjacent defect prevalence (p = 0.94), or graft position (p = 0.99) between the two subgroups. Weight-bearing-as-tolerated patients (group C) experienced significantly fewer deep vein thrombosis and arthrofibrosis complications compared with non-weight-bearing patients (groups A and B) (p < 0.001).Postoperative weight-bearing restrictions did not affect mid-term cartilage repair outcomes in patients who underwent second-look arthroscopy when an osteochondral autograft transfer system was used to repair small defects in weight-bearing areas of cartilage of the medial and/or lateral femoral condyle.Therapeutic Level III. See Instructions for Authors for a complete description of levels of evidence.",1
https://doi.org/10.1177/0363546519868213,Increased Chondrocytic Gene Expression Is Associated With Improved Repair Tissue Quality and Graft Survival in Patients After Autologous Chondrocyte Implantation,"Background: Assays to quantitate the quality of autologous chondrocyte implants have recently become available. However, the correlation of the assay score with radiological and clinical outcomes has not been established. Purpose/Hypothesis: The purpose was to assess the influence of cell identity (chondrocyte/synoviocyte gene expression ratio) and viability on patient-reported outcome measures, graft survival, and repair tissue quality. It was hypothesized that greater cell product quality as assessed through an identity assay and cell viability is associated with superior outcomes after autologous chondrocyte implantation (ACI) for symptomatic cartilage defects. Study Design: Cohort study; Level of evidence, 3. Methods: Seventy-nine patients with a minimum follow-up of 2 years were included in this study. Of these, 67 patients were available for imaging assessment utilizing the Magnetic Resonance Observation of Cartilage Repair Tissue (MOCART) scoring system. Patients were assigned to groups either below or above the cohort’s mean based on their individual cell identity score and viability percentage. Results: Patients were predominantly female (57.7%) with a mean age of 30.0 ± 9.3 years. No differences were seen between Knee injury and Osteoarthritis Outcome Score, Lysholm, Tegner, or International Knee Documentation Committee Subjective Knee Evaluation Form within the viability and cell identity groups at a final follow-up of 3.8 ± 1.4 years after ACI ( P &gt; .05). In a subset of patients, the mean MOCART score was 68.3 ± 15.6 at an average magnetic resonance imaging follow-up of 17.7 ± 9.56 months. Low cell identity was significantly associated with the degree of defect filling ( P = .025), integration of border zone ( P = .01), effusion ( P = .024), and ACI graft failure ( P = .002). Patients with above-average cell identity scores had a significantly higher survival rate at 5-year follow-up compared with patients with below-average scores (95.8% vs 64.7%; P = .013). Cell viability did not influence MOCART subscales or graft failure (all P &gt; .05). Cell viability and identity showed no significant correlation with each other ( r = −0.045; P = .694). Conclusion: Cell identity was significantly correlated with structural repair quality and graft survival after second-generation ACI for symptomatic chondral lesions in the knee. While improved imaging outcome and higher graft survivorship were associated with a higher individual cell identity score indicating a higher chondrocyte/synoviocyte gene expression ratio in the final cell product, clinical outcome did not correlate with the identity score.",0
https://doi.org/10.1258/ar.2010.100087,Periosteal autograft for articular cartilage defects in dogs: MR imaging and ultrasonography of the repair process,"Background Autologous periosteal grafting is used as treatment for cartilage defects. Purpose To assess the role of MR imaging and ultrasonography in the evaluation of the post-graft repair process with imaging and histologic correlation. Material and Methods Periosteal grafts obtained from the tibia of eight dogs were transplanted to the experimental cartilage defects in the femoral condyles (15 knees). The control group was comprised of three dogs (five knees). MR imaging using 4.7T and ultrasonography of the grafted specimens was performed at one, two, four, eight, and 16 weeks after transplantation. The animals were sacrificed at the time of imaging at the previously specified intervals. Histologic analysis with imaging correlation was subsequently performed. Results All specimens taken from one to 16 weeks demonstrated periosteal proliferation in the graft. At one week, experimental cartilage defects were no longer present on MR imaging. Area of high signal intensity (SI) in the defect was present which corresponded to hemorrhage, edema, and fibrosis on histology. At two, four, and eight weeks, all but two graft demonstrated heterogeneous high SI on T2-weighted image, consistent with immature cartilage. At 16 weeks, all grafts showed heterogeneous isointense to adjacent cartilage on all sequences, which corresponded to dominant mature cartilage. The repair tissue near the exposed subchondral bone revealed heterogeneous high SI on T2-weighted images. This corresponded to the fibrosis with vascular penetration and edema. In the control group, no cartilage repair was noted within cartilage defects. The serial MR features of the grafted area correlated well with the histologic findings. Serial sonographic findings were not sufficient to provide the regenerated cartilage maturity. Conclusion MR imaging is capable of depicting the repair characteristics following periosteal grafting for articular cartilage defects. MR imaging may provide useful information in the assessment of the graft appearance with definite implications regarding the degree and success of incorporation.",0
https://doi.org/10.3727/096368914x685654,In Vivo Tracking and Fate of Intra-Articularly Injected Superparamagnetic Iron Oxide Particle-Labeled Multipotent Stromal Cells in an Ovine Model of Osteoarthritis,"In this study, superparamagnetic iron oxide (SPIO) particle-labeled mesenchymal stromal cells (MSCs) were injected intra-articularly into osteoarthritic knee joints. Their fate and distribution were evaluated using magnetic resonance imaging (MRI) and macroscopic and histologic postmortem examination. Osteoarthritis was induced in 12 sheep by bilateral meniscectomy. After 6 weeks, one knee joint received 10 × 10 6 SPIO-labeled MSCs (Molday Ion Rhodamine B). Contralateral knees received a control injection of a) PBS, b) SPIO in PBS, c) 10 × 10 6 nonvital SPIO-labeled MSCs in PBS, or d) no injection. MR images were acquired immediately after injection and 1, 4, 8, and 12 weeks thereafter using a 0.5-T unit and a T2* sequence. Signal intensity of synovial fluid and synovial lining was assessed semiquantitatively using a scoring system. Viable SPIO-labeled MSCs produced a strong hypointense signal in the synovial fluid immediately after injection, but normal signal intensity of the synovial fluid was observed 1 week later. Synovial lining maintained its hypointensity throughout the study period. Nonvital SPIO-labeled MSCs induced hypointense signals of the synovial fluid; synovial lining appeared weak and inconsistently hypointense in the following weeks. Pure SPIO produced a strong hyperintense signal in the synovial fluid at the time of injection only. Histologically, in all knee joints receiving viable SPIO-labeled MSCs, SPIO particles were detected (Prussian blue) within the synovial lining, dorsal fat pad, and neomeniscus tissue, but not in osteochondral samples. Few SPIO particles were detected in joints injected with nonvital SPIO-labeled MSCs. Immunohistologically, no increased cell death (TUNEL) was observed in the area of detected SPIO particles, but we did observe potential chondrogenic cell differentiation (Safranin O or S100β). We conclude that viable SPIO-labeled MSCs remain detectable within the joint for 12 weeks and attach themselves to some but not all diseased joint structures.",0
