doi,title,abstract,label_included
https://doi.org/10.1016/j.bjps.2020.05.035,Is there a therapeutic effect of botulinum toxin on scalp alopecia? Physiopathology and reported cases: A systematic review of the literature,"Botulinum toxin is a treatment whose effectiveness has been widely demonstrated in the treatment of facial wrinkles. Its use in alopecia has been much less studied in the literature. Therefore, we carried out a systematic review of the literature in December 2019 in order to index published cases of alopecia patients treated with botulinum toxin. Pub Med, Embase, and Cochrane Library databases were explored. Six studies that included 94 patients were selected. Only one study was prospectively controlled against placebo. Of the 94 patients, 85 were affected by androgenetic alopecia, 8 by alopecia areata, and 1 by radiation-induced alopecia. The doses injected per session varied between 30 and 150 units and the number of sessions between 1 and 12. In the majority of the studies, the injections were carried out in all the muscles of the scalp (frontal, temporal, peri-auricular, occipital). Four studies showed a frank improvement in hair growth. Two of them showed improvement in hair density using an objective endpoint (hair count). The remaining reported studies showed inconclusive results. Patient satisfaction was high across all studies, but this systematic review did not clearly demonstrate the value of using the botulinum toxin in the treatment of alopecia. Subsequent prospective randomized controlled studies are required.",0
https://doi.org/10.1007/s11255-020-02510-1,Lower circulating soluble Klotho level is associated with increased risk of all-cause mortality in chronic kidney disease patients: a systematic review and meta-analysis,"This study aimed to investigate the association between circulating soluble Klotho level and risk of all-cause mortality in chronic kidney disease (CKD) patients using systematic review and meta-analysis technique. Potentially eligible studies were identified from Medline and EMBASE databases from inception to March 2020 using a search strategy that consisted of terms for “Klotho” and “Mortality”. Eligible study must be a cohort study that consists of one cohort of CKD patients with higher circulating soluble Klotho level and another cohort of CKD patients with lower circulating soluble Klotho level. The study must also report relative risk (RR), incidence rate ratio, hazard risk ratio or standardized incidence ratio with 95% confidence intervals (95% CIs) comparing all-cause mortality between CKD patients with lower circulating soluble Klotho level versus CKD patients with higher circulating soluble Klotho level. If the study divides patients (per circulating soluble Klotho level) into more than two groups, a comparison between the highest and the lowest group would be extracted. Point estimates with standard errors were retrieved from each study and were combined together using the generic inverse variance method. A total of 2964 articles were retrieved. After two rounds of an independent review by two investigators, six prospective cohort studies met the eligibility criteria and were included into the meta-analysis. CKD patients with lower circulating soluble Klotho level had a significantly increased risk of all-cause mortality with the pooled risk ratio of 1.88 (95% CI 1.29–2.74; I2 0%). The funnel plot was fairly symmetric and did not reveal any suggestive evidence of publication bias. The current study found a significant association between lower circulating soluble Klotho level and increased risk of all-cause mortality in CKD patients. However, this meta-analysis carries some limitations, including relatively small sample size, lack of adjustment for potential confounders and between-study heterogeneity in baseline characteristics of the patients and cut-off values used to categorize patients into higher and lower circulating serum Klotho level group.",0
https://doi.org/10.1111/zph.12698,A systematic review and meta‐analysis of predictors of human hepatitis E virus exposure in non‐endemic countries,"The reported incidence of clinical hepatitis E cases is rising in some non-endemic countries, with concurrent concerns regarding potential hepatitis E virus (HEV) contamination of the blood supply. Therefore, the characterization of major potential sources of human HEV exposure is important to inform risk assessment and public health policy. A systematic review was conducted, including a comprehensive search in six electronic bibliographic databases, verified by hand-searching reference lists of HEV reviews, and a grey literature search, of the broad research question 'what is the evidence of the association between predictors of human HEV exposure, and HEV IgG seropositivity, in non-endemic countries?' Using forms designed a priori, captured studies were appraised at first-level screening, second-level characterization, and third-level data extraction and risk of bias assessment. Meta-analysis yielded summary estimates of association between potential predictors and odds of HEV seropositivity. Meta-analysis and meta-regression of the odds of HEV seroprevalence in specific groups characterized potential sources of HEV exposure. From 4,163 captured citations, 245 relevant studies underwent data extraction, investigating HEV seroprevalence or predictors in both healthy subjects and targeted patient groups. Across these groups, increasing age was a predictor of HEV IgG seropositivity. Both human immunodeficiency virus patients and haemodialysis patients had significantly increased odds of HEV seropositivity relative to the general population. Working with pigs, in forestry, or in hospitals, was significantly associated with increased odds of HEV seropositivity, as were consumption of meat, pork or game meat, or hunting. Chronological time was not associated with HEV seropositivity within our data sets. Further study of the distribution of potential dietary or behavioural predictors between high and lower prevalence areas within non-endemic countries could improve our understanding of the relative importance of specific HEV transmission pathways.",0
https://doi.org/10.1097/coc.0000000000000660,Systemic Management for Nonmetastatic Castration-resistant Prostate Cancer,"Purpose To indirectly compare the efficacy and safety of systemic therapies used for patients with nonmetastatic castration-resistant prostate cancer (nmCRPC). Methods The relevant randomized controlled trials were retrieved from PubMed and the Cochrane Library. Network meta-analyses were used to compare multiple drugs simultaneously for the outcomes of nmCRPC. Direct evidence in trials and indirect evidence across trials were combined by the network meta-analyses to estimate the treatment efficiency. Outcome Eight studies were included in our research. For prostate-specific antigen progression-free survival, the rate of progression was significantly decreased following apalutamide, enzalutamide, bicalutamide+dutasteride, and bicalutamide treatment compared with placebo. Compared with placebo treatment, metastases-free survival was significantly increased in patients who received apalutamide (hazard ratio [HR]: 0.28, 95% confidence interval [CI]: 0.23-0.35), enzalutamide (HR: 0.29, 95% CI: 0.24-0.35), and darolutamide (HR: 0.42, 95% CI: 0.35-0.50). Direct comparison showed significant survival benefits in patients who received second-generation anti-androgen therapy (apalutamide, enzalutamide, and darolutamide: HR: 0.74, 95% CI: 0.61-0.91) compared with patients who received placebo. With respect to metastases-free survival, based on SUCRA analysis, there was 80% and 78% probability that apalutamide and enzalutamide were preferred treatment, while darolutamide was likely to be second-best choice. Compared with placebo, all agents were not associated with significantly higher likelihood of serious adverse events and grade 3 to 4 adverse events. Conclusion Our outcomes support equivalent efficacy and similar risk of adverse effects between apalutamide, enzalutamide, and darolutamide, supporting the use of these antiandrogen agents in high-risk of progression nmCRPC.",0
https://doi.org/10.1016/j.prro.2020.04.007,Differences in Outcomes of Chemoradiation in Women With Invasive Cervical Cancer by Human Immunodeficiency Virus Status: A Systematic Review,"<h2>Abstract</h2><h3>Purpose</h3> Cervical cancer is one of the leading causes of cancer death among women worldwide, and women living with human immunodeficiency virus (HIV) carry the highest burden of disease. Chemoradiation (CRT) is the current standard treatment for locally advanced cervical cancer, without specific treatment modifications based on HIV status. This systematic review evaluates existing literature reporting differences in outcomes between HIV+ and HIV– women with invasive cervical cancer treated with CRT. <h3>Methods and Materials</h3> Searches were conducted through Pubmed, Ovid MEDLINE, Embase, Scopus, Web of Science, and Cochrane Library. Two researchers independently conducted article selection; articles were selected by title, then abstract, and then by full text content. Data were extracted using a structured form. <h3>Results</h3> Thirteen articles were included in the analysis, all of which were either retrospective or prospective cohort studies published between 2012 and 2018, and most of which were conducted in Sub-Saharan Africa. Treatment outcomes included treatment response, survival, toxicities, and quality of life. The majority of studies (8 of 13) reported no differences in treatment outcomes by HIV status. Out of 8 studies that assessed survival, 6 reported no significant difference based on HIV status. All 4 studies assessing treatment response found no significant differences based on HIV status. Among 6 studies primarily assessing treatment toxicity, 3 showed no differences based on HIV status. Factors affecting treatment outcomes, such as treatment selection bias, pretreatment hemoglobin levels, and antiretroviral therapy administration, were not systematically accounted for. <h3>Conclusions</h3> The majority of studies analyzed showed no differences in treatment outcomes, including overall toxicity, treatment response, or mortality, on the basis of HIV infection status. These results suggest CRT should continue to be the treatment of choice for locally invasive cervical cancer regardless of HIV status. Further study is required to more precisely account for other variables that influence treatment outcome.",0
https://doi.org/10.1016/j.lungcan.2020.04.011,Efficacy and safety of ALK inhibitors in ALK-rearranged non-small cell lung cancer: A systematic review and meta-analysis,"Abstract Objectives No overall survival (OS) benefit has been reported from a mature randomized trial with the use of ALK inhibitors. We conducted a systematic review and meta-analysis to assess the efficacy of ALK inhibitors compared to chemotherapy (ALK vs. chemo) and 2nd generation ALK inhibitors compared to 1 st generation ALK inhibitors (ALK-2 G vs. ALK-1 G). Methods The electronic databases Medline (PubMed), EMBASE, and the Cochrane Database of Systematic Reviews were searched for relevant randomized trials. Pooled hazard ratios (HR) for OS and progression free survival (PFS), and pooled risk ratios for objective response rates (ORR) and toxicity were meta-analyzed using the generic inverse variance and the Mantel-Haenszel methods. To account for between-studies heterogeneity, random-effect models were used. Subgroup analyses compared PFS by gender, smoking status, brain metastases, race and age. Results Six trials were included in the analysis of ALK vs. chemo and four in the analysis of ALK-2 G vs. ALK-1 G. Treatment with ALK inhibitors improved OS compared to chemotherapy (HR: 0.84, 95 %CI 0.72−0.97) while a trend toward a better OS was seen with ALK-2 G vs. ALK-1 G (HR: 0.66, 95 %CI 0.43–1.02). PFS was improved with ALK vs. chemo and ALK-2 G vs. ALK-1 G (HR: 0.44, 95 %CI 0.35−0.54 and HR: 0.38, 95 %CI-0.29−0.51, respectively). ORR was improved with ALK vs. chemo and ALK-2 G vs. ALK-1 G. No difference in toxicity was observed. Conclusions This meta-analysis is the first, to our knowledge, to report an OS and PFS benefit with the use of ALK inhibitors compared to chemotherapy from randomized trial data. A trend toward a better OS was also seen with ALK-2 G vs. ALK-1 G and this is likely because of crossover effects and limited OS follow-up. Longer follow up and further research are warranted to directly compare ALK inhibitor sequences and to understand the outcomes of second generation ALK inhibitors as initial therapy.",0
https://doi.org/10.1111/codi.14921,Antibiotic exposure and the risk of colorectal adenoma and carcinoma: a systematic review and meta‐analysis of observational studies,"The Incidence of colorectal cancer (CRC) is increasing, and evidence suggests that maladaptation of the bowel microbiome may be associated with colorectal carcinogenesis. Consumption of antibiotics may cause imbalance of the bowel microbiome but research assessing an association between antibiotic exposure and CRC is inconsistent. The aim of this systematic review and meta‐analysis was to appraise and synthesize the available evidence.",0
https://doi.org/10.1080/03602532.2020.1758713,Nano-hydroxyapatite use in dentistry: a systematic review,Nano-hydroxyapatite (nano-HA) is a material with multiple uses due to its biocompatibility and its resemblance to the nonorganic bone structure. It is used in various dental domains such as implant...,0
https://doi.org/10.1016/j.joca.2019.09.008,The effects of TNF-alpha inhibition on cartilage: a systematic review of preclinical studies,"Summary Objective To report the most up-to-date evidence on the effects of tumour necrosis factor (TNF)-alpha inhibition on cartilage with a focus on its clinical relevance. Design A systematic review was performed by searching PubMed, Embase and Cochrane Library databases. Inclusion criteria were studies of any level of evidence published in peer-reviewed journals reporting clinical or preclinical results written in English. Relative data were extracted and critically analysed. PRISMA guidelines were applied, and risk of bias was assessed as well as the methodological quality of the included studies. Results 13 studies were included after applying the inclusion and exclusion criteria. Three were in vitro human studies from osteoarthritis (OA) patients. Ten were animal modal studies including two in vitro studies, and eight in vivo studies. TNF-alpha inhibition in in vitro studies was generally reported beneficial due to the improved osteochondral viability, proliferation and chondrogenesis. In addition, TNF-alpha inhibition was noted to be beneficial in promoting the natural repair of osteochondral lesions and has a chondroprotective effect in in vivo studies. Conclusion Based on current evidence, TNF might have the potential to interfere with the healing process of chondral and osteochondral defects occurring naturally or in low inflammatory environment after a cartilage repair procedure. Therefore, the use of biological agents to inhibit its action in cartilage repair surgery could be beneficial, and this could translate into a promising therapy that improves the outcome of currently available cartilage procedures.",0
https://doi.org/10.1186/s12877-020-01534-7,Activity interventions to improve the experience of care in hospital for people living with dementia: a systematic review,"Abstract Background An increasingly high number of patients admitted to hospital have dementia. Hospital environments can be particularly confusing and challenging for people living with dementia (Plwd) impacting their wellbeing and the ability to optimize their care. Improving the experience of care in hospital has been recognized as a priority, and non-pharmacological interventions including activity interventions have been associated with improved wellbeing and behavioral outcomes for Plwd in other settings. This systematic review aimed at evaluating the effectiveness of activity interventions to improve experience of care for Plwd in hospital. Methods Systematic searches were conducted in 16 electronic databases up to October 2019. Reference lists of included studies and forward citation searching were also conducted. Quantitative studies reporting comparative data for activity interventions delivered to Plwd aiming to improve their experience of care in hospital were included. Screening for inclusion, data extraction and quality appraisal were performed independently by two reviewers with discrepancies resolved by discussion with a third where necessary. Standardized mean differences (SMDs) were calculated where possible to support narrative statements and aid interpretation. Results Six studies met the inclusion criteria (one randomized and five non-randomized uncontrolled studies) including 216 Plwd. Activity interventions evaluated music, art, social, psychotherapeutic, and combinations of tailored activities in relation to wellbeing outcomes. Although studies were generally underpowered, findings indicated beneficial effects of activity interventions with improved mood and engagement of Plwd while in hospital, and reduced levels of responsive behaviors. Calculated SMDs ranged from very small to large but were mostly statistically non-significant. Conclusions The small number of identified studies indicate that activity-based interventions implemented in hospitals may be effective in improving aspects of the care experience for Plwd. Larger well-conducted studies are needed to fully evaluate the potential of this type of non-pharmacological intervention to improve experience of care in hospital settings, and whether any benefits extend to staff wellbeing and the wider ward environment.",0
