doi,title,abstract,label_included
https://doi.org/10.1192/bjp.bp.112.117762,Joint crisis plans for people with borderline personality disorder: feasibility and outcomes in a randomised controlled trial,"Background People with borderline personality disorder frequently experience crises. To date, no randomised controlled trials (RCTs) of crisis interventions for this population have been published. Aims To examine the feasibility of recruiting and retaining adults with borderline personality disorder to a pilot RCT investigating the potential efficacy and cost-effectiveness of using a joint crisis plan. Method An RCT of joint crisis plans for community-dwelling adults with borderline personality disorder (trial registration: ISRCTN12440268). The primary outcome measure was the occurrence of self-harming behaviour over the 6-month period following randomisation. Secondary outcomes included depression, anxiety, engagement and satisfaction with services, quality of life, well-being and cost-effectiveness. Results In total, 88 adults out of the 133 referred were eligible and were randomised to receive a joint crisis plan in addition to treatment as usual (TAU; n =46) or TAU alone ( n =42). This represented approximately 75% of our target sample size and follow-up data were collected on 73 (83.0%) participants. Intention-to-treat analysis revealed no significant differences in the proportion of participants who reported self-harming (odds ratio (OR) =1.9, 95% CI 0.53-6.5, P = 0.33) or the frequency of self-harming behaviour (rate ratio (RR)=0.74, 95% CI 0.34-1.63, P =0.46) between the two groups at follow-up. No significant differences were observed between the two groups on any of the secondary outcome measures or costs. Conclusions It is feasible to recruit and retain people with borderline personality disorder to a trial of joint crisis plans and the intervention appears to have high face validity with this population. However, we found no evidence of clinical efficacy in this feasibility study.",0
https://doi.org/10.1521/pedi_2012_26_068,Emotional Reactivity to Social Rejection and Negative Evaluation Among Persons With Borderline Personality Features,"The present study examined the emotional reactivity of persons with heightened borderline personality (BP) features to social rejection and negative evaluation in the laboratory. Individuals with high levels of BP features (n = 30) and controls with low levels of BP features (n = 44) were randomly assigned to a condition involving negative evaluation based on writing (negative evaluation/academic), or a condition involving negative evaluation based on personal characteristics as well as social rejection (negative evaluation/social rejection). Hypothesis 1 was that high-BP individuals, but not low-BP controls, would show greater emotional reactivity to the negative evaluation/social rejection stressor, compared with the negative evaluation/academic (writing) stressor. Hypothesis 2 was that high-BP individuals would specifically show greater reactivity of shame- and anger-related emotions to the negative evaluation/social rejection stressor compared with the negative evaluation/academic stressor. Findings indicated that high-BP individuals showed heightened emotional reactivity to the social rejection stressor but not to the negative evaluation stressor, but the opposite pattern occurred for controls. In addition, there was evidence for heightened reactivity of irritability, distress, and shame for the high-BP group, specifically in the social rejection condition.",0
https://doi.org/10.1176/ajp.2007.164.6.974,Do Nonspecific Factors Influence Psychotherapy Outcome?,,0
https://doi.org/10.1007/s00406-007-0735-1,Topiramate reduced aggression in female patients with borderline personality disorder,,0
https://doi.org/10.1097/pra.0000000000000086,Handbook of Good Psychiatric Management for Borderline Personality Disorder,"Reviews the book, Handbook of Good Psychiatric Management for Borderline Personality Disorder by John G. Gunderson with Paul S. Links (see record 2014-12597-000). After publicizing the results of a randomized controlled trial on general psychiatric management that showed similar outcomes compared with dialectical behavior therapy (DBT), Links joined forces with Gunderson to develop a treatment manual focused on helping the nonspecialist understand and treat the condition. The resulting work is one that is full of the wisdom of years of clinical experience, guided by science, and expressed in clear principles, unencumbered by the complicated psychiatric jargon of yesteryear. Gunderson and Links changed the term ""general psychiatric management"" to ""good psychiatric management,"" or GPM, for the purpose of emphasizing the utility of the practice as good enough. The book works for 2 main reasons. First, it is clear and tackles all of the major decision points in treating someone with bipolar disorder (BPD) and then addresses all of the typical problems that may arise in the therapeutic relationship. Second, the authors provide descriptive case examples punctuated with ""decision points,"" which present the reader with a set of choices encountered in the therapeutic relationship. (PsycInfo Database Record (c) 2021 APA, all rights reserved)",0
https://doi.org/10.1038/tp.2013.34,Sniffing around oxytocin: review and meta-analyses of trials in healthy and clinical groups with implications for pharmacotherapy,"The popularity of oxytocin (OT) has grown exponentially during the past decade, and so has the number of OT trials in healthy and clinical groups. We take stock of the evidence from these studies to explore potentials and limitations of pharmacotherapeutic applications. In healthy participants, intranasally administered OT leads to better emotion recognition and more trust in conspecifics, but the effects appear to be moderated by context (perceived threat of the ‘out-group’), personality and childhood experiences. In individuals with untoward childhood experiences, positive behavioral or neurobiological effects seem lowered or absent. In 19 clinical trials, covering autism, social anxiety, postnatal depression, obsessive-compulsive problems, schizophrenia, borderline personality disorder and post-traumatic stress, the effects of OT administration were tested, with doses ranging from 15 IU to more than 7000 IU. The combined effect size was d=0.32 (N=304; 95% confidence interval (CI): 0.18–0.47; P<0.01). However, of all disorders, only studies on autism spectrum disorder showed a significant combined effect size (d=0.57; N=68; 95% CI: 0.15–0.99; P<0.01). We hypothesize that for some of the other disorders, etiological factors rooted in negative childhood experiences may also have a role in the diminished effectiveness of treatment with OT.",0
https://doi.org/10.1016/j.drugalcdep.2007.06.001,The Alcohol Use Disorder and Associated Disabilities Interview Schedule-IV (AUDADIS-IV): Reliability of new psychiatric diagnostic modules and risk factors in a general population sample,"This study presents test-retest reliability statistics and information on internal consistency for new diagnostic modules and risk factors for alcohol, drug, and psychiatric disorders from the Alcohol Use Disorder and Associated Disabilities Interview Schedule-IV (AUDADIS-IV). Test-retest statistics were derived from a random sample of 1899 adults selected from 34,653 respondents who participated in the 2004-2005 Wave 2 National Epidemiologic Survey on Alcohol and Related Conditions (NESARC). Internal consistency of continuous scales was assessed using the entire Wave 2 NESARC. Both test and retest interviews were conducted face-to-face. Test-retest and internal consistency results for diagnoses and symptom scales associated with posttraumatic stress disorder, attention-deficit/hyperactivity disorder, and borderline, narcissistic, and schizotypal personality disorders were predominantly good (kappa>0.63; ICC>0.69; alpha>0.75) and reliability for risk factor measures fell within the good to excellent range (intraclass correlations=0.50-0.94; alpha=0.64-0.90). The high degree of reliability found in this study suggests that new AUDADIS-IV diagnostic measures can be useful tools in research settings. The availability of highly reliable measures of risk factors for alcohol, drug, and psychiatric disorders will contribute to the validity of conclusions drawn from future research in the domains of substance use disorder and psychiatric epidemiology.",0
https://doi.org/10.1016/j.jns.2015.09.357,Effects of long-term whole-body vibration training on mobility in patients with multiple sclerosis: A meta-analysis of randomized controlled trials,"This meta-analysis evaluated feasibility and efficacy of long-term whole-body vibration (WBV) training in improving mobility of multiple sclerosis (MS) patients.The primary search of this meta-analysis was conducted from four electronic databases (PubMed, Sport, CINAHL and Cochrane) in order to find all relevant randomized, controlled WBV intervention trials of MS patients published between January 2000 and October 2013. The primary search was complemented by a recent (Aug 2015) PubMed search. Data on patients' characteristics and type of WBV intervention were extracted from the published reports and supplementary material. Two researchers independently assessed the methodological quality of these studies and outcomes. Standardized mean differences based on the baseline-adjusted follow-up results were calculated as indicators of the effect size (ES) of WBV training.Seven randomized controlled trials (RCTs) involving 250 MS patients were found. Relevant group-based data for analysis were available from 109 patients in WBV groups and from 100 control patients; 41 patients withdrew from the studies. Quality assessment revealed that the WBV training protocols were heterogeneous and the methodological quality of the studies was generally poor. We found borderline indication for improved 2-6 min walking endurance [ES=0.25 (95% CI=-0.06-0.0.55)] favoring WBV training whereas no benefits were indicated for short-distance (20m or less) walking speed or balance.This meta-analysis suggests that WBV training has potential in improving walking endurance in MS patients with low disability status. However, evidence for more severely disabled MS patients is lacking, and further well-designed, long-term RCTs with adequate sample sizes are needed.",0
https://doi.org/10.1037/a0014044,Treating co-occurring Axis I disorders in recurrently suicidal women with borderline personality disorder: A 2-year randomized trial of dialectical behavior therapy versus community treatment by experts.,"This study evaluated whether dialectical behavior therapy (DBT) was more efficacious than treatment by nonbehavioral psychotherapy experts in reducing co-occurring Axis I disorders among suicidal individuals with borderline personality disorder (BPD). Women with BPD and recent and repeated suicidal and/or self-injurious behavior (n = 101) were randomly assigned to 1 year of DBT or community treatment by experts (CTBE), plus 1 year of follow-up assessment. For substance dependence disorders (SDD), DBT patients were more likely to achieve full remission, spent more time in partial remission, spent less time meeting full criteria, and reported more drug- and alcohol-abstinent days than did CTBE patients. These findings suggest that improvements in co-occurring SDD among suicidal BPD patients are specific to DBT and cannot be attributed to general factors associated with nonbehavioral expert psychotherapy. Further, group differences in SDD remission were not explained by either psychotropic medication usage or changes in BPD criterion behaviors. DBT and CTBE did not significantly differ in the reduction of anxiety disorders, eating disorders, or major depressive disorder.",0
https://doi.org/10.1186/s12888-014-0301-0,Day hospital Mentalization-based treatment versus intensive outpatient Mentalization-based treatment for patients with severe borderline personality disorder: protocol of a multicentre randomized clinical trial,"Borderline personality disorder (BPD) is associated with a high socioeconomic burden. Although a number of evidence-based treatments for BPD are currently available, they are not widely disseminated; furthermore, there is a need for more research concerning their efficacy and cost-effectiveness. Such knowledge promises to lead to more efficient use of resources, which will facilitate the effective dissemination of these costly treatments. This study focuses on the efficacy and cost-effectiveness of Mentalization-Based Treatment (MBT), a manualized treatment for patients with BPD. Studies to date have either investigated MBT in a day hospitalization setting (MBT-DH) or MBT offered in an intensive outpatient setting (MBT-IOP). No trial has compared the efficacy and cost-effectiveness of these MBT programmes. As both interventions differ considerably in terms of intensity of treatment, and thus potentially in terms of efficacy and cost-effectiveness, there is a need for comparative trials. This study therefore sets out to investigate the efficacy and cost-effectiveness of MBT-DH versus MBT-IOP in patients with BPD. A secondary aim is to investigate the association between baseline measures and outcome, which might improve treatment selection and thus optimize efficacy and cost-effectiveness.A multicentre randomized controlled trial comparing MBT-DH versus MBT-IOP in severe BPD patients. Patients are screened for BPD using the Structured Clinical Interview for DSM-IV Axis II Personality Disorders, and are assessed before randomization, at the start of treatment and 6, 12, 18, 24, 30 and 36 months after the start of treatment. Patients who refuse to participate will be offered care as usual in the same treatment centre. The primary outcome measure is symptom severity as measured by the Brief Symptom Inventory. Secondary outcome measures include parasuicidal behaviour, depression, substance use, social, interpersonal, and personality functioning, attachment, mentalizing capacities, and quality of life. All analyses will be conducted based on the intention-to-treat principle. Cost-effectiveness will be calculated based on costs per quality-adjusted life-year.This multisite randomized trial will provide data to refine criteria for treatment selection for severe BPD patients and promises to optimize (cost-)effectiveness of the treatment of BPD patients.NTR2292 . Registered 16 April 2010.",0
