doi,title,abstract,label_included
https://doi.org/10.3389/fnbeh.2014.00160,Noradrenergic activation of the basolateral amygdala modulates the consolidation of object-in-context recognition memory,"Noradrenergic activation of the basolateral complex of the amygdala (BLA) is well known to enhance the consolidation of long-term memory of highly emotionally arousing training experiences. The present study investigated whether such noradrenergic activation of the BLA also influences the consolidation of object-in-context recognition memory, a low-arousing training task assessing episodic-like memory. Male Sprague-Dawley rats were exposed to two identical objects in one context for either 3 or 10 min, immediately followed by exposure to two other identical objects in a distinctly different context. Immediately after the training they received bilateral intra-BLA infusions of norepinephrine (0.3, 1.0, or 3.0 μ g) or the β-adrenoceptor antagonist propranolol (0.1, 0.3, or 1.0 μ g). On the 24-h retention test, rats were placed back into one of the training contexts with one copy of each of the two training objects. Thus, although both objects were familiar, one of the objects had not previously been encountered in this particular test context. Hence, if the animal generated a long-term memory for the association between an object and its context, it would spend significantly more time exploring the object that was not previously experienced in this context. Saline-infused control rats exhibited poor 24-h retention when given 3 min of training and good retention when given 10 min of training. Norepinephrine administered after 3 min of object-in-context training induced a dose-dependent memory enhancement, whereas propranolol administered after 10 min of training produced memory impairment. These findings provide evidence that post-training noradrenergic activation of the BLA also enhances the consolidation of memory of object-in-context recognition training, enabling accuracy of episodic-like memories.",1
https://doi.org/10.1523/jneurosci.2968-11.2011,On the Dynamic Nature of the Engram: Evidence for Circuit-Level Reorganization of Object Memory Traces following Reactivation,"Research has implicated the perirhinal cortex (PRh) in several aspects of object recognition memory. The specific role of the hippocampus (HPC) remains controversial, but its involvement in object recognition may pertain to processing contextual information in relation to objects rather than object representation per se . Here we investigated the roles of the PRh and HPC in object memory reconsolidation using the spontaneous object recognition task for rats. Intra-PRh infusions of the protein synthesis inhibitor anisomycin immediately following memory reactivation prevented object memory reconsolidation. Similar deficits were observed when a novel object or a salient contextual change was introduced during the reactivation phase. Intra-HPC infusions of anisomycin, however, blocked object memory reconsolidation only when a contextual change was introduced during reactivation. Moreover, disrupting functional interaction between the HPC and PRh by infusing anisomycin unilaterally into each structure in opposite hemispheres also impaired reconsolidation when reactivation was done in an altered context. These results show for the first time that the PRh is critical for reconsolidation of object memory traces and provide insight into the dynamic process of object memory storage; the selective requirement for hippocampal involvement following reactivation in an altered context suggests a substantial circuit level object trace reorganization whereby an initially PRh-dependent object memory becomes reliant on both the HPC and PRh and their interaction. Such trace reorganization may play a central role in reconsolidation-mediated memory updating and could represent an important aspect of lingering consolidation processes proposed to underlie long-term memory modulation and stabilization.",0
https://doi.org/10.1089/neu.2017.5102,Post-Injury Administration of Galantamine Reduces Traumatic Brain Injury Pathology and Improves Outcome,"Acetylcholine is an excitatory neurotransmitter in the central nervous system that plays a key role in cognitive function, including learning and memory. Previous studies have shown that experimental traumatic brain injury (TBI) reduces cholinergic neurotransmission, decreases evoked release of acetylcholine, and alters cholinergic receptor levels. Galantamine (U.S. Food and Drug Administration approved for the treatment of vascular dementia and Alzheimer's disease) has been shown to inhibit acetylcholinesterase activity and allosterically potentiate nicotinic receptor signaling. We investigated whether acute administration of galantamine can reduce TBI pathology and improve cognitive function tested days after the termination of the drug treatment. Post-injury administration of galantamine was found to decrease TBI-triggered blood-brain barrier (BBB) permeability (tested 24 h post-injury), attenuate the loss of both GABAergic and newborn neurons in the ipsilateral hippocampus, and improve hippocampal function (tested 10 days after termination of the drug treatment). Specifically, significant improvements in the Morris water maze, novel object recognition, and context-specific fear memory tasks were observed in injured animals treated with galantamine. Although messenger RNAs for both M1 (Nos2, TLR4, and IL-12ß) and M2 (Arg1, CCL17, and Mcr1) microglial phenotypes were elevated post-TBI, galantamine treatment did not alter microglial polarization tested 24 h and 6 days post-injury. Taken together, these findings support the further investigation of galantamine as a treatment for TBI.",0
https://doi.org/10.1016/j.yhbeh.2018.11.004,Effects of adolescent Bisphenol-A exposure on memory and spine density in ovariectomized female rats: Adolescence vs adulthood,"The endocrine disruptor, Bisphenol-A (BPA), alters many behavioral and neural parameters in rodents. BPA administration to gonadally intact adolescent rats increases anxiety, impairs spatial memory, and decreases dendritic spine density when measured in adulthood. Since BPA's action seems to be mediated through gonadal steroid receptors, the current experiments were done in ovariectomized (OVX) female rats to examine the effects on behavior and spine density of adolescent BPA exposure under controlled hormone conditions. OVX (postnatal day, PND, 21) female Sprague-Dawley rats (n = 66) received subcutaneous injections of BPA (40 μg/kg/bodyweight), 17β-Estradiol (E2, 50 μg/kg/bodyweight), or saline during adolescence (PND 38-49). Following the last injection brains were processed for Golgi impregnation (Exp1), behavioral and spine density in adolescence (Exp2), or in adulthood (Exp3). In Exp1, E2 increased spine density in CA1 pyramidal cells and BPA decreased spine density in granule cells of the dentate gyrus (DG). In Exp2, BPA impaired spatial memory on the object placement (OP) task, E2 increased spine density in CA1, BPA decreased spine density in the DG and the medial prefrontal cortex (mPFC). When measured in adulthood (Exp3), BPA impaired OP and object recognition (OR) performance, E2 increased spine density in CA1, and BPA decreased spine density in CA1, the mPFC and the DG. Results provide novel data on the effects of adolescent BPA in an OVX model and are compared to data in intact animals and within the context of understanding the importance of the profound neuronal alterations occurring during adolescent development.",0
https://doi.org/10.3233/bpl-150010,Running Improves Pattern Separation during Novel Object Recognition,"Running increases adult neurogenesis and improves pattern separation in various memory tasks including context fear conditioning or touch-screen based spatial learning. However, it is unknown whether pattern separation is improved in spontaneous behavior, not emotionally biased by positive or negative reinforcement. Here we investigated the effect of voluntary running on pattern separation during novel object recognition in mice using relatively similar or substantially different objects.We show that running increases hippocampal neurogenesis but does not affect object recognition memory with 1.5 h delay after sample phase. By contrast, at 24 h delay, running significantly improves recognition memory for similar objects, whereas highly different objects can be distinguished by both, running and sedentary mice. These data show that physical exercise improves pattern separation, independent of negative or positive reinforcement. In sedentary mice there is a pronounced temporal gradient for remembering object details. In running mice, however, increased neurogenesis improves hippocampal coding and temporally preserves distinction of novel objects from familiar ones.",0
https://doi.org/10.1016/j.bbr.2014.09.008,Role of slow oscillatory activity and slow wave sleep in consolidation of episodic-like memory in rats,"Our previous experiments showed that sleep in rats enhances consolidation of hippocampus dependent episodic-like memory, i.e. the ability to remember an event bound into specific spatio-temporal context. Here we tested the hypothesis that this enhancing effect of sleep is linked to the occurrence of slow oscillatory and spindle activity during slow wave sleep (SWS). Rats were tested on an episodic-like memory task and on three additional tasks covering separately the where (object place recognition), when (temporal memory), and what (novel object recognition) components of episodic memory. In each task, the sample phase (encoding) was followed by an 80-min retention interval that covered either a period of regular morning sleep or sleep deprivation. Memory during retrieval was tested using preferential exploration of novelty vs. familiarity. Consistent with previous findings, the rats which had slept during the retention interval showed significantly stronger episodic-like memory and spatial memory, and a trend of improved temporal memory (although not significant). Object recognition memory was similarly retained across sleep and sleep deprivation retention intervals. Recall of episodic-like memory was associated with increased slow oscillatory activity (0.85-2.0Hz) during SWS in the retention interval. Spatial memory was associated with increased proportions of SWS. Against our hypothesis, a relationship between spindle activity and episodic-like memory performance was not detected, but spindle activity was associated with object recognition memory. The results provide support for the role of SWS and slow oscillatory activity in consolidating hippocampus-dependent memory, the role of spindles in this process needs to be further examined.",0
https://doi.org/10.1016/j.neuropharm.2018.12.030,Flumazenil but not bicuculline counteract the impairing effects of anesthetic ketamine on recognition memory in rats. Evidence for a functional interaction between the GABAA-benzodiazepine receptor and ketamine?,"Experimental evidence indicates that anesthetic doses of the non-competitive NMDA receptor antagonist ketamine impair memory abilities in rodents. The mechanism by which anesthetic ketamine produces its adverse behavioural effects is not yet clarified. In this context, it has been proposed that the effects of anesthetic ketamine on memory might be attributed to its agonistic properties on the GABA type A receptor. The present study was designed to address this issue. Thus, we investigated the ability of the benzodiazepine receptor antagonist flumazenil (1, 3, 6 mg/kg, i.p.) and the GABAA receptor antagonist bicuculline (0.5, 1.5, 3 mg/kg, i.p.) to counteract recognition memory deficits produced by anesthetic ketamine (100 mg/kg, i.p.) in rats. For this purpose, the novel object recognition task, a behavioural paradigm assessing recognition memory abilities in rodents was used. Compounds were coadministered 24 h before testing or retention. Pre (24 h before testing) or post-training (24 h before retention) administration of flumazenil (6 mg/kg, i.p.) counteracted anesthetic ketamine-induced performance deficits in the novel object recognition memory task. Conversely, bicuculline failed to attenuate the recognition memory deficits caused by anesthetic ketamine. Our findings propose a functional interaction between anesthetic ketamine and the GABAA receptor allosteric modulator flumazenil on recognition memory.",0
https://doi.org/10.1523/jneurosci.3997-09.2010,Reduced Cortical BDNF Expression and Aberrant Memory in Carf Knock-Out Mice,"Transcription factors are a key point of convergence between the cell-intrinsic and extracellular signals that guide synaptic development and brain plasticity. Calcium-response factor (CaRF) is a unique transcription factor first identified as a binding protein for a calcium-response element in the gene encoding brain-derived neurotrophic factor (Bdnf). We have now generated Carf knock-out (KO) mice to characterize the function of this factor in vivo. Intriguingly, Carf KO mice have selectively reduced expression of Bdnf exon IV-containing mRNA transcripts and BDNF protein in the cerebral cortex, whereas BDNF levels in the hippocampus and striatum remain unchanged, implicating CaRF as a brain region-selective regulator of BDNF expression. At the cellular level, Carf KO mice show altered expression of GABAergic proteins at striatal synapses, raising the possibility that CaRF may contribute to aspects of inhibitory synapse development. Carf KO mice show normal spatial learning in the Morris water maze and normal context-dependent fear conditioning. However they have an enhanced ability to find a new platform location on the first day of reversal training in the water maze and they extinguish conditioned fear more slowly than their wild-type littermates. Finally, Carf KO mice show normal short-term (STM) and long-term memory (LTM) in a novel object recognition task, but exhibit impairments during the remote memory phase of testing. Together, these data reveal novel roles for CaRF in the organization and/or function of neural circuits that underlie essential aspects of learning and memory.",0
https://doi.org/10.1037/0097-7403.9.3.248,Contextual control of the extinction of conditioned fear: Tests for the associative value of the context.,"Four conditioned suppression experiments examined the influence of contextual stimuli on the rat's fear of an extinguished conditioned stimulus (CS). When rats received pairings of a CS with shock in one context and then extinction of the CS in another context, fear of the CS was renewed when the CS was returned to and tested in the original context (Experiments 1 and 3). No such renewal was obtained when the CS was tested in a second context after extinction had occurred in the conditioning context (Experiment 4). In Experiment 2, shocks presented following extinction reinstated fear of the CS, but only if they were presented in the context in which the CS was tested. In each experiment, the associative properties of the contexts were independently assessed. Contextual excitation was assessed primarily with context-preference tests in which the rats chose to sit in either the target context or an adjoining side compartment. Contextual inhibition was assessed with summation tests. Although reinstatement was correlated with demonstrable contextual excitation present during testing, the renewal effect was not. Moreover, there was no evidence that contextual inhibition developed during extinction. The results suggest that fear of an extinguished CS can be affected by the excitatory strength of the context but that independently demonstrable contextual excitation or inhibition is not necessary for contexts to control that fear.",0
https://doi.org/10.1016/j.jep.2016.07.068,Age dependent neuroprotective effects of medhya rasayana prepared from Clitoria ternatea Linn. in stress induced rat brain,"Indian traditional medicinal system in Ayurveda suggests several preparations, known as medhya rasayanas, of diverse plant origin to enhance the health in general, reduce stress and improve brain function in particular during ageing. These effects in the context of contemporary knowledge and the underlying mechanisms are not clearly understood. Autophagy and DNA damage induced repair are inter-related quintessential pathways and are significantly altered during stress and ageing. Hence, medhya rasayana prepared from Clitoria ternatea (locally known as shankhpushpi) was used to test these effects in Wistar rat model of various age groups upon stereotaxic mediated kainic acid induced brain injury.The rodent experiments were carried out in one, twelve and eighteen months old male Wistar rats. The rats were orally fed with medhya rasayana prepared from Clitoria ternatea (3g per kg body weight/day) for 60 days. Stereotaxic mediated kainate stress to the hippocampus was performed on day 61. The rats were sacrificed on 66th day and the brain tissues were analyzed histologically and measured for autophagy, base excision repair and antioxidant enzyme activities. In addition, cognitive functions were analyzed by employing novel object recognition task and Morris water maze tests. The gene expression profile of hippocampus was assessed by microarray hybridization and two genes are validated.Our study showed significant decrease of autophagy by medhya rasayana in both 12 and 18 months old rats. The hippocampal CA3 cellularity were increased in stereotaxic mediated stressed rats by medhya rasayana. There were no significant differences in constitutive base excision repair and antioxidant enzyme activities. Medhya rasayana treatment also significantly increased episodic memory in rats. Microarray experiments for pathway specific gene expression analysis showed altered expression of genes of long-term potentiation, axon guidance, neuroactive ligand-receptor interaction, regulation of autophagy, lysosome, homologous recombination and nucleotide excision repair pathways in adult rats by medhya rasayana.In the present study, we show that reduction in autophagy is crucial for medhya rasayana induced protection of rat hippocampal cells and that artificially enhanced autophagy protects the brain cell damage by maintaining the selective DNA damage repair pathway and removal of reactive oxygen species to inhibit apoptosis. These findings suggest autophagy directed pathways by medhya rasayana prepared from C. ternatea protects the brain cells from stress induced injury.",0
