doi,title,abstract,label_included
,[On menarche relations of two generations--investigations on mothers and their daughters in Görlitz (author's transl)].,"The author examine the relationship between the age at menarche of 384 mothers and their daughters in Gorlitz, the German Democratic Republic (SUMMARY IN ENG)",0
https://doi.org/10.1111/j.1461-0248.2012.01791.x,Divergent selection on locally adapted major histocompatibility complex immune genes experimentally proven in the field,"Although crucial for the understanding of adaptive evolution, genetically resolved examples of local adaptation are rare. To maximize survival and reproduction in their local environment, hosts should resist their local parasites and pathogens. The major histocompatibility complex (MHC) with its key function in parasite resistance represents an ideal candidate to investigate parasite-mediated local adaptation. Using replicated field mesocosms, stocked with second-generation lab-bred three-spined stickleback hybrids of a lake and a river population, we show local adaptation of MHC genotypes to population-specific parasites, independently of the genetic background. Increased allele divergence of lake MHC genotypes allows lake fish to fight the broad range of lake parasites, whereas more specific river genotypes confer selective advantages against the less diverse river parasites. Hybrids with local MHC genotype gained more body weight and thus higher fitness than those with foreign MHC in either habitat, suggesting the evolutionary significance of locally adapted MHC genotypes.",0
https://doi.org/10.1088/0031-9155/45/12/301,Objective comparison of image quality and dose between conventional and synchrotron radiation mammography,"The shape of the energy spectrum produced by an x-ray tube has a great importance in mammography. Many anode-filtration combinations have been proposed to obtain the most effective spectrum shape for the image quality-dose relationship. On the other hand, third generation synchrotrons such as the European Synchrotron Radiation Facility in Grenoble are able to produce a high flux of monoenergetic radiation. It is thus a powerful tool to study the effect of beam energy on image quality and dose in mammography. An objective method was used to evaluate image quality and dose in mammography with synchrotron radiation and to compare them to standard conventional units. It was performed systematically in the energy range of interest for mammography through the evaluation of a global image quality index and through the measurement of the mean glandular dose. Compared to conventional mammography units, synchrotron radiation shows a great improvement of the image quality-dose relationship, which is due to the beam monochromaticity and to the high intrinsic collimation of the beam, which allows the use of a slit instead of an anti-scatter grid for scatter rejection.",0
,[Genetic linkage of the autosomal dominant form of Charcot-Marie-Tooth amyotrophy and 3 genetic markers on chromosome 1].,"In a large pedigree with the autosomal dominant form of Charcot-Marie-Tooth neuropathy type I (CMT 1) segregating in four generations, genetic linkage was studied between this disease and three genetic markers from the centromere region of chromosome 1: Duffy blood group (Fy), salivary and pancreatic isoamylases (AMY 1, AMY 2), and DNA polymorphism at the antithrombin III locus, detected with the probe pAT3c. The lod-scores found do not support linkage between CMT 1 and both Fy and AT 3, since they are negative for all recombination frequencies. Very close linkage could have been excluded. For the AMY polymorphism, the pedigree was not linkage-informative. In agreement with the data from literature, these results support the notion of genetic heterogeneity of CMT 1: in the pedigree under study, the responsible locus is probably not in the centromeric region of the chromosome 1, where it was shown to map to in several other pedigrees. Thus, there seem to exist at least two loci responsible for this type of CMT disease.",0
https://doi.org/10.1111/j.1751-1097.1998.tb02514.x,In Vivo and In Vitro Photodynamic Studies with Benzochlorin Iminium Salts Delivered by a Lipid Emulsion,"Benzochlorin iminium salts (Bis) are hydrophobic photosensitizers based on an octaethylbenzochlorin nucleus that absorb in the near-IR region of the visible spectrum. In these studies the photodynamic activities of the zinc, copper and metal-free BI derivatives were compared in vivo in C3H-HeJ mice bearing a mammary adenocarcinoma tumor line. In vitro studies were also performed with the radiation-induced fibrosarcoma tumor line. An argon-pumped Ti-sapphire laser tuned to deliver light between 710 and 800 nm or an Oriel arc-lamp filtered to deliver broadband light above 590 nm were used as light source. A lipid emulsion was used as the delivery system for sensitizers in all studies. A pronounced solvent dependence was observed for the Q band for each of all iminium salts examined. As an example, the metal-free (BI) derivative had an absorption maximum at 798 nm in dichloromethane and at 727 nm in serum. The action spectra showed a greater PDT response at blue-shifted wavelengths for each of the three iminium salts both in vivo and in vitro. Among the three derivatives, the zinc analog (ZnBI) produced the greatest tumor regression at the low drug/light dose of 0.7 (μ mole/kg and 200 J/cm2. These results indicate that iminium salts have characteristics that may make them promising third-generation photosensitizers.",0
https://doi.org/10.1517/14656566.5.5.1061,Treating haemophilia A with recombinant blood factors: a comparison,"The mainstay in the treatment of haemophilia A is replacement therapy with repeated infusions of plasma-derived Factor VIII (FVIII) concentrates or recombinant FVIII products. While modern plasma-derived FVIII concentrates have an excellent safety profile, there is an inexorable shift towards the use of recombinant products, especially in affluent countries. Recombinant FVIII products have demonstrated excellent haemostatic efficacy and higher safety with regard to the transmission of blood-borne pathogens. The experience in haemophilia A treatment with five currently available recombinant FVIII products, including the first third-generation product, Advate, which is completely free from human or animal proteins, is summarised. Some unresolved problems concerning the efficacy and assaying of recombinant factors and future perspectives of both recombinant and plasma-derived FVIII products in global haemophilia care, are also discussed.",0
https://doi.org/10.1080/01634370802039502,Grandparent and Kinship Foster Care: Implications of Licensing and Payment Policies,"In this article, we examine the different licensing and payment policies in the United States for kinship foster care and assess the potential impact of licensing policies on the likelihood that grandparents or other kin will become licensed as formal kinship foster care providers. With this information, discussion is presented that outlines possible barriers to formalized foster kinship care placement and identifies the need for changes in public policy that could lead to increased program access for kinship foster caregivers.",0
https://doi.org/10.1530/eje.0.1500425,Retarded bone growth in thyroid hormone resistance. A clinical study of a large family with a novel thyroid hormone receptor mutation,"Thyroid hormone resistance (RTH) is characterised by variable tissue hyporesponsiveness to thyroid hormone. The disorder is usually caused by mutations in the thyroid hormone receptor beta (TR beta). We describe a large family with this disorder. SUBJECTS AND MEASUREMENT: We identified 36 family members with RTH in four generations by screening relatives of patients with the diagnosis. The diagnosis was verified by identification of a mutation in the thyroid hormone receptor beta (TR beta) gene. Symptoms, clinical findings and laboratory tests of 29 affected individuals were compared with those of 16 first-degree relatives.Bone maturation in children with RTH was delayed. The height was lower both in children and in adults with RTH than in the controls. Children with RTH had lower birth weight than the controls, particularly when the condition was inherited from the father. We did not observe increased prevalence of neuropsychological symptoms associated with RTH in this family. Palpitations and increased pulse rate indicated mild cardiac hyperthyroidism. Direct sequence analysis of the TR beta gene revealed a novel point mutation, a heterozygous transition c.1031G>C in exon 9 theoretically substituting Gly344Ala.We found evidence of skeletal tissue hypothyroidism that resulted in permanent growth retardation from prenatal to adult life. We found substantial variations in thyroid hormone levels and clinical presentation, but most individuals were without symptoms of thyroid disorder.",0
,Hepatitis C virus seroprevalence in patients attending a sexual health centre.,"To determine the prevalence of hepatitis C virus (HCV) infection in patients attending the Christchurch sexual health centre.Anonymised unlinked serum specimens from 362 patients sequentially attending the sexual health centre were obtained and tested for HCV antibody using the second generation enzyme immunoassay kit (Abbott). Antibody positive samples were assayed for virus by amplification of hepatitis C ribonucleic acid (RNA).Twelve patients (3.3%) were seropositive and 10 samples were also positive for virus RNA (2.7%). In 50% of cases the patients had no discernible risk factors other than unprotected sexual intercourse. An overall serum prevalence of 22% (4/19) was noted within a sub population who admitted to intravenous drug use. Ninety patients had, at the time of consultation, requested an antibody test for the human immunodeficiency virus (HIV). There were no antibodies to HIV detected in any of these patients nor any statistical difference in HCV antibody prevalence within this group.Hepatitis C is a common viral infection within the community. A significant percentage of patients who were anti HCV positive had no discernible risk factors other than sexual transmission which must be considered as a mode of transmission. We concur with the Department of Health guidelines emphasising the need for safer sex practices in a patient with a diagnosis of hepatitis C.",0
https://doi.org/10.1021/es3036785,Toxicity of Quantum Dots and Cadmium Salt to Caenorhabditis elegans after Multigenerational Exposure,"To fully understand the biological and environmental impacts of nanomaterials requires studies that address both sublethal end points and multigenerational effects. Here, we use a nematode to examine these issues as they relate to exposure to two different types of quantum dots, core (CdSe) and core-shell (CdSe/ZnS), and to compare the effect to those observed after cadmium salt exposures. The strong fluorescence of the core-shell QDs allowed for the direct visualization of the materials in the digestive track within a few hours of exposure. Multiple end points, including both developmental and locomotive, were examined at QD exposures of low (10 mg/L Cd), medium (50 mg/L Cd), and high concentrations (100 mg/L Cd). While the core-shell QDs showed no effect on fitness (lifespan, fertility, growth, and three parameters of motility behavior), the core QDs caused acute effects similar to those found for cadmium salts, suggesting that biological effects may be attributed to cadmium leaching from the more soluble QDs. Over multiple generations, we commonly found that for lower life-cycle exposures to core QDs the parents response was generally a poor predictor of the effects on progeny. At the highest concentrations, however, biological effects found for the first generation were commonly similar in magnitude to those found in future generations.",1
https://doi.org/10.3762/bjoc.7.111,Chiral gold(I) vs chiral silver complexes as catalysts for the enantioselective synthesis of the second generation GSK-hepatitis C virus inhibitor,"The synthesis of a GSK 2(nd) generation inhibitor of the hepatitis C virus, by enantioselective 1,3-dipolar cycloaddition between a leucine derived iminoester and tert-butyl acrylate, was studied. The comparison between silver(I) and gold(I) catalysts in this reaction was established by working with chiral phosphoramidites or with chiral BINAP. The best reaction conditions were used for the total synthesis of the hepatitis C virus inhibitor by a four step procedure affording this product in 99% ee and in 63% overall yield. The origin of the enantioselectivity of the chiral gold(I) catalyst was justified according to DFT calculations, the stabilizing coulombic interaction between the nitrogen atom of the thiazole moiety and one of the gold atoms being crucial.",0
https://doi.org/10.1159/000240946,Endocrine Studies in the Untreated F&lt;sub&gt;1&lt;/sub&gt; and F&lt;sub&gt;2&lt;/sub&gt; Progeny of Rats Treated Neonatally with Thyroxine,"When neonatal rats are made hyperthyroid with large doses of thyroxine during the first 5 days of life, they develop hypothalamopituitary, thyroidal and gonadal abnormalities that persist through life. When female rats, which have been treated neonatally, are subsequently mated to normal males, their offspring show unexpected gonadal and thyroidal defects, such as reduced weaning weight and delayed vaginal opening and first estrus in females; males show a significant increase in relative thyroid weight and a significant decrease in ventral prostate weight. Cross-fostering was done to separate prenatal from postnatal influences. Even more surprising was the finding that when the untreated female F&lt;sub&gt;1&lt;/sub&gt; progeny were mated with normal males, the untreated F&lt;sub&gt;2&lt;/sub&gt; progeny showed more defects and to a greater degree than those present in the maternal parent.",1
https://doi.org/10.1007/s003910050139,Occurrence of chronic diseases and their impact on physical disability over the whole spectrum of aging: from 65 to over 100 years of age,"The aging of the Italian population is an emerging public health priority. In 2025 Italy is expected to have the highest world median age with nearly half of the population over 50 years old. To avoid an unbearable burden of disease and disability on future generations, we must identify areas for intensive disease and disability prevention programs. Preliminary results from the PRO.V.A study show that disability is associated with conditions that are potentially preventable as chronic diseases and falls or are treatable as chronic pains. Moreover, it is of extreme interest to identify and understand biological and environmental secrets of successful aging as the AKEA study tries to do and the ways of overcoming disabilities in the extreme limits of life more and more possible to reach.",0
