doi,title,abstract,label_included
https://doi.org/10.21825/vdt.v87i4.16068,Diabetes mellitus and hypercortisolism in a cat,"A fourteen-year-old Persian cat was referred because of poorly controlled diabetes mellitus despite insulin and dietary treatment. Clinical signs were severe polydipsia/polyuria (pupd), poor hair coat quality, stomatitis and hind limb weakness. At the time of initial presentation, he was treated with glargine insulin (0,75 IU/kg BID). A low dose dexamethasone suppression test (LDDST) revealed hypercortisolism (HC). The cat was additionally treated with trilostane, and remission of diabetes mellitus was obtained one year later. This case illustrates the importance of diagnosing an underlying cause of poorly controlled diabetes mellitus. Although hypercortisolism is rare in cats, it is important to consider the disease in these cases. The hypercortisolism in this cat was efficiently managed with trilostane, resulting in a good quality of life.",0
https://doi.org/10.1210/jc.2008-1164,Unexpected Endocrine Features and Normal Pigmentation in a Young Adult Patient Carrying a Novel Homozygous Mutation in the POMC Gene,"Proopiomelanocortin (POMC) is the precursor to five biologically active peptides, including ACTH produced in the anterior pituitary and alpha-MSH produced in the hypothalamus. Mutations that inactivate the POMC gene have been described in children, causing a pleiotropic syndrome that includes secondary hypocortisolism, severe obesity, and variable changes in skin and hair pigmentation.We describe a female patient of North African ancestry, homozygous for a frameshift mutation in the POMC gene (6922InsC) that impairs the production of all melanocortin peptides, and that is associated with novel clinical features. Repeated clinical investigations from birth to age 18 yr are presented.ACTH deficiency was diagnosed at birth. Hyperphagia and obesity became apparent before 2 yr of age and rapidly progressed [body mass index (BMI) Z-score, +7 sd at 2 yr, +9.7 sd at 13 yr; BMI, 50 kg/m(2) at 18 yr). At puberty, the patient developed alterations in the somatotropic, gonadotropic, and thyroid axes necessitating hormonal replacement. Surprisingly, there were no obvious pigmentary features; neither the hair color nor measurements of skin reflectance distinguished between the patient and unaffected family members. However, chemical analysis of hair pigment revealed increased production of both pheomelanin and eumelanin.Molecular genetic abnormalities of POMC should always be considered in patients with early onset adrenal insufficiency and obesity, even in the presence of normal pigmentation and multiple pituitary hormone anomalies.",0
https://doi.org/10.7326/0003-4819-61-2-255,Psychological Studies of Adult Male Patients with Sexual Infantilism Before and After Androgen Therapy,Excerpt This study explores some psychological implications of hormonal treatment of adult males who have failed to mature sexually. Although effective hormonal replacement for androgen deficiency ...,0
https://doi.org/10.1016/j.psyneuen.2011.09.009,"Hair cortisol as a biological marker of chronic stress: Current status, future directions and unanswered questions","The detrimental effects of stress on human health are being increasingly recognized. There is a critical need for the establishment of a biomarker that accurately measures its intensity and course over time. Such a biomarker would allow monitoring of stress, increase understanding of its pathophysiology and may help identify appropriate and successful management strategies. Whereas saliva and urine cortisol capture real-time levels, hair cortisol analysis presents a complementary means of monitoring stress, capturing systemic cortisol exposure over longer periods of time. This novel approach for cortisol quantification is being increasingly used to identify the effects of stress in a variety of pathological situations, from chronic pain to acute myocardial infarctions . Because of its ability to provide a long-term, month-by-month measure of systemic cortisol exposure, hair cortisol analysis is becoming a useful tool, capable of answering clinical questions that could previously not be answered by other tests. In this paper we review the development, current status, limitations and outstanding questions regarding the use of hair cortisol as a biomarker of chronic stress.",0
https://doi.org/10.1530/eje-20-0077,"In adults with obesity, copeptin is linked with BMI but is not associated with long-term exposure to cortisol and cortisone","Obesity and cardiometabolic diseases are associated with higher long-term glucocorticoid levels, measured as scalp hair cortisol (HairF) and cortisone (HairE). Cardiometabolic diseases have also been associated with copeptin, a stable surrogate marker for the arginine-vasopressin (AVP) system. Since AVP is, together with corticotropin-releasing hormone (CRH) an important regulator of the hypothalamic-pituitary adrenal axis (HPA axis), we hypothesize that AVP contributes to chronic hypercortisolism in obesity.To investigate whether copeptin levels are associated with Higher HairF and HairE levels in obesity.A cross-sectional study in 51 adults with obesity (BMI ≥30 kg/m2).Associations and interactions between copeptin, HairF, HairE, and cardiometabolic parameters were cross-sectionally analyzed.Copeptin was strongly associated with BMI and waist circumference (WC) (rho = 0.364 and 0.530, P = 0.008 and <0.001, respectively), also after correction for confounders. There were no associations between copeptin and HairF or HairE on a continuous or dichotomized scale, despite correction for confounders.In patients with obesity, AVP seems not a major contributor to the frequently observed high cortisol levels. Other factors which stimulate the HPA axis or affect cortisol synthesis or breakdown may be more important than the influence of AVP on long-term glucocorticoid levels in obesity.",1
https://doi.org/10.1111/apa.15093,Self‐reported mental health and cortisol activity at 27‐28 years of age in individuals born with very low birthweight,"AIM To assess mental health outcomes of very low birthweight (VLBW, <1500 g) subjects to adulthood and to examine salivary cortisol and hair cortisol levels and their relation to birth characteristics and mental health. METHODS A Swedish regional cohort of 56 VLBW subjects and 55 full-term controls were assessed at the ages 27-28 with adult self-reported scales and the mean of 2 days diurnal salivary cortisol and hair cortisol. The cohorts had been assessed at 15 years of age with youth self-reported scales. RESULTS There were no differences between the groups in youth self-reported scales and adult self-reported scores. The 24 participating VLBW girls scored lower on youth self-reported scales externalising and total problem scores than the control girls. In adulthood, the 21 participating VLBW women had significantly higher morning concentrations of salivary cortisol than control women, P = .014. No significant associations were found between cortisol concentrations and adult self-reported scales internalising, externalising and total scores. CONCLUSION Self-reported mental health in VLBW subjects was comparable with normal birthweight controls indicating a satisfying transition from adolescence to adulthood. VLBW females had higher morning salivary cortisol concentrations, suggesting a gender difference. We found no correlations between cortisol and mental health.",0
https://doi.org/10.1136/bmjopen-2017-019365,Rationale and design of GENEiUS: a prospective observational study on the genetic and environmental determinants of body mass index evolution in Canadian undergraduate students,"Introduction Obesity is a global epidemic and is a risk factor for developing other comorbidities. Young adulthood is a critical period for body weight change and establishing healthy lifestyle behaviours. The ‘Freshman 15’ suggests that undergraduate students gain 15 lbs (6.8 kg) during their first year of university, although evidence estimates a more modest weight gain of approximately 3–5 lbs (1.4–2.3 kg). Previous studies have only investigated weight change in the first year and do not study potential risk factors. Genetic and EnviroNmental Effects on weight in University Students (GENEiUS) is a prospective observational study which will investigate the environmental and biological determinants of weight change in undergraduate students over 4 years. Methods and analysis The GENEiUS study will recruit 2500 multiethnic undergraduates aged 17–25 years at McMaster University at the start of their first year and will follow them every 6 months for 4 years. Primary outcomes are obesity traits: body mass index, waist circumference, waist-to-hip ratio, body fat mass and body fat percentage. The contribution of well-established and novel genetic variants for obesity traits and heritability values will be derived from whole-genome single-nucleotide polymorphism genotyping arrays. Civil status, age, sex, ethnicity, length of residence in Canada, religiosity, energy intake, physical activity, exercise motivation, electronic screen time, sleep patterns, history of assault, smoking status, alcohol consumption, medication and drug use, stress, impulsivity, body image perception, self-esteem, anxiety, eating disorders and depression will be investigated for their effect on obesity traits. The findings of the GENEiUS study will be used to help design obesity prevention programme in North American universities with multiethnic populations. Ethics and dissemination Ethical approval of the study protocol has been obtained from the Hamilton Integrated Research Ethics Board. Study results will be disseminated through scientific publications, scholarly meetings, and collaborative meetings with university administration and student groups.",0
https://doi.org/10.1080/10253890.2020.1724949,Hair cortisol levels in posttraumatic stress disorder and metabolic syndrome,"Individuals with post-traumatic stress disorder (PTSD) evidence increased rates of metabolic syndrome (MetS), and both PTSD and MetS are associated with alterations in hypothalamic–pituitary–adrena...",1
https://doi.org/10.1016/j.ygcen.2017.11.027,Effect of repeated adrenocorticotropic hormone administration on reproductive function and hair cortisol concentration during the estrous cycle in goats,"Measurement of the cortisol concentration in hair has been used as an index of chronic stress in several species including humans, wildlife and domestic animals. However, how accurately the cortisol concentration in hair reflects the changes in circulating cortisol concentrations has not been well documented. The objective of the present study was to examine the effect of repeated adrenocorticotropic hormone (ACTH) administration on the reproductive function during the estrous cycle and hair cortisol concentrations in goats. In experiment 1, goats were administered ACTH (0.625 IU/10 kg of body weight, n = 6) or saline (n = 6) intramuscularly once a day for 7 days on Day 11-17 of the estrous cycle (day 0 was the day of ovulation). In experiment 2, goats were administered ACTH (0.625 IU/10 kg of body weight, n = 6) or saline (n = 6) intramuscularly twice a day on Day 11-24 of the estrous cycle. Blood samples were collected 0, 0.5, and 6 h after first administration to determine the circulating cortisol concentrations. Hair was clipped at 0, 1, and 2 months after the start of administration. In both experiments, the plasma cortisol concentration increased at 0.5 h and returned to baseline at 6 h after ACTH administration. During the experiments, estrus was observed in most animals in ACTH and saline groups (6/6 and 4/6 in experiment 1 and 5/6 and 6/6 in experiment 2, respectively) and ovulation was observed in all goats examined. However, the number of ovulatory follicles was significantly different between the ACTH and saline groups, and the maximal diameter of ovulatory follicles tended to be different (P = .07) between the ACTH and saline groups. In experiment 1, the hair cortisol concentration was not influenced by the ACTH administration throughout the sampling period. In experiment 2, the hair cortisol concentration in the ACTH group was greater at 1 month after administration than the pre-administration value, but was not significantly different at 2 months. These results suggest that repeated ACTH administration affects the development and ovulatory process of ovarian follicles and analysis of the hair cortisol concentration can be used for assessing relatively long-term changes in cortisol concentration in the circulation.",0
https://doi.org/10.1111/jcpp.12770,"Commentary: The importance of exploring dose-dependent, subtype-specific, and age-related effects of maltreatment on the HPA axis and the mediating link to psychopathology. A response to Fisher (2017)","We greatly appreciate Dr. Fisher's commentary that provides an excellent backdrop and well-considered perspective on our findings. We agree that our results mesh well with previous work documenting hypocortisolism among youth who experienced early adversity, especially neglect. Moreover, as also perceptively noted by Dr. Fisher, our cross-sectional data provide support for the notion that hypocortisolism is not simply a transient phenomenon, but, rather, a persistent pattern characterizing maltreated youth. Specifically, the consistency of the between group effect (from age 9.69 onwards) on a multimonth index of cumulative cortisol and the dose-dependent gradient of cortisol secretion within the maltreated group, which was related to the number of subtypes and the length of exposure to maltreatment, lend weight to this view.",0
