doi,title,abstract,label_included
https://doi.org/10.1002/jgc4.1306,A thematic analysis of health information technology use among cancer genetic counselors,"As precision medicine becomes a mainstay in health care, the use of health information technology (IT) platforms will play an important role in the delivery of services across the cancer care continuum. Currently, there is both limited understanding about perceptions of health IT tools and barriers to their use among cancer genetic counselors. We assessed open-ended responses from a survey conducted among 128 board-certified cancer genetic counselors in the United States. We evaluated the utility of ten health IT tools and perceived barriers to adoption. Responses about characteristics of health IT tools that influence current use (i.e., technology-specific challenges) were deductively analyzed using the diffusion of innovations (DOI) characteristics. Responses about cancer genetic counselors' perceived challenges to adopting health IT tools (i.e., discipline-specific challenges) were inductively coded using a thematic approach. DOI innovation characteristics included mixed perceptions about the relative advantage, complexity, compatibility, trialability, and observability of tools based on the type of tool and perceived end-user. One-third of participants indicated that they were considering adopting or switching health IT tools. Common barriers to adoption included no perceived need for change, lack of organizational infrastructure, cost, and lack of decision-making power. Our findings indicate that addressing barriers to use and adoption of health IT may allow for expansion of these tools among cancer genetic counselors. Integrating health IT is critical for enhancing cancer genetic counselors' capacity to address patient needs and realizing the potential of precision medicine.",0
https://doi.org/10.1016/j.urolonc.2013.09.018,Quality of physician-patient relationships is associated with the influence of physician treatment recommendations among patients with prostate cancer who chose active surveillance,"With growing evidence that some men with prostate cancer (PCa) may be overtreated, clinicians need greater knowledge of the factors that influence uptake of treatment recommendations in general, and specifically, uptake of active surveillance in patients for whom this is an appropriate treatment option. The objective of this study was to test the role of the quality of the physician-patient relationship in the choice to be followed by active surveillance, rather than receive definitive therapy (e.g., surgery and radiation). We hypothesized that patients would have been more influenced by their physicians' treatment recommendations to the degree that they held more positive perceptions of their relationship with their physicians, independent of treatment recommended.Patients with PCa (n = 120) being followed with active surveillance at a comprehensive cancer center completed self-report assessments of their treatment decision-making process. Generalized estimating equations were used to model the association between participants' perceptions of their relationships with their physicians and influence of these physicians' recommendations on their treatment decision.After controlling for the type of treatment recommended, Gleason score, and education, 3 predictors, trust in the physician, perceived closeness with the physician, and the degree to which the physician shared control over treatment decision making, were associated with greater influence of physician's treatment recommendation. Receiving a recommendation for active surveillance, compared with definitive therapy, was also associated with higher perceived trust, closeness, shared control over treatment decision making, lower likelihood of having been treated poorly by a physician, and greater influence of physician's treatment recommendation.There is increasing concern that patients with relatively less aggressive PCa, older age, or serious comorbidities are being unnecessarily treated with surgery or radiation, putting them at risk for side effects, and contributing to high health care costs. When active surveillance is an appropriate course of treatment, the quality of patients' relationships with their physicians may be a determinant of following a recommendation for active surveillance. Results may have implications for treatment uptake in general, indicating that the quality of the physician-patient relationship, including trust, closeness, shared decision making--all elements of patient-centered care--may be important motivators of treatment adoption and adherence.",0
https://doi.org/10.1136/jitc-2019-000451,Mucosal inflammation predicts response to systemic steroids in immune checkpoint inhibitor colitis,"Immune-related colitis is a common, often serious complication of immune checkpoint inhibition (ICI). Although endoscopy is not strictly recommended for any grade of diarrhea/colitis, emerging evidence suggests that endoscopic evaluation may have important therapeutic implications. In this retrospective study, we sought to comprehensively characterize the clinical and histologic features of ICI-induced colitis with a specific focus on evaluating the prognostic role of endoscopy.Data were collected from the medical records of 130 patients with confirmed ICI-induced colitis. In a subset of patients (n=44) with endoscopic and pathologic data, endoscopic data were scored using the Mayo Endoscopic Score (MES) with scores ranging from 0 (no inflammation) to 3 (colonic ulceration). The impact of infliximab on antitumor outcomes was evaluated using progression-free survival (PFS) and overall survival (OS).We identified 130 patients with ICI-induced colitis across two institutions. All patients were treated with corticosteroids. Additional and/or alternative immunosuppression was employed in 59 cases, with 52 patients (42%) requiring at least one infusion of infliximab 5 mg/kg. Endoscopic assessment with biopsy was performed in 123 cases of suspected colitis (95%), with 44 cases available for MES tabulation. Presence of ulceration (MES 3) was associated with use of infliximab (p=0.008) and MES was significantly higher in patients who received infliximab compared with those who did not (p=0.003) with a median score of 2.5; conversely, those with an MES of zero rarely required secondary immunosuppression. Notably, symptoms of colitis based on Common Terminology Criteria for Adverse Events grade had no association with endoscopic findings based on MES classification. After adjustment for baseline patient and disease characteristics, there was no significant difference in steroid duration or cancer-related outcomes in patients treated with infliximab.In our study, we demonstrate the association of endoscopic features, specifically the MES, with immunosuppressive needs. Importantly, we also show that MES was not related to severity of patient symptoms. The data suggest that endoscopic features can guide clinical decision-making better than patient symptoms, both identifying high-risk patients who will require infliximab and those who are likely to respond to initial corticosteroids.",0
https://doi.org/10.1186/s12911-019-0862-4,Development and validation of a patient decision aid for prostate Cancer therapy: from paternalistic towards participative shared decision making,"Patient decision aids (PDAs) can support the treatment decision making process and empower patients to take a proactive role in their treatment pathway while using a shared decision-making (SDM) approach making participatory medicine possible. The aim of this study was to develop a PDA for prostate cancer that is accurate and user-friendly.We followed a user-centered design process consisting of five rounds of semi-structured interviews and usability surveys with topics such as informational/decisional needs of users and requirements for PDAs. Our user-base consisted of 8 urologists, 4 radiation oncologists, 2 oncology nurses, 8 general practitioners, 19 former prostate cancer patients, 4 usability experts and 11 healthy volunteers.Informational needs for patients centered on three key factors: treatment experience, post-treatment quality of life, and the impact of side effects. Patients and clinicians valued a PDA that presents balanced information on these factors through simple understandable language and visual aids. Usability questionnaires revealed that patients were more satisfied overall with the PDA than clinicians; however, both groups had concerns that the PDA might lengthen consultation times (42 and 41%, respectively). The PDA is accessible on http://beslissamen.nl/ .User-centered design provided valuable insights into PDA requirements but challenges in integrating diverse perspectives as clinicians focus on clinical outcomes while patients also consider quality of life. Nevertheless, it is crucial to involve a broad base of clinical users in order to better understand the decision-making process and to develop a PDA that is accurate, usable, and acceptable.",0
https://doi.org/10.1200/po.20.00372,Molecular Profiling-Based Assignment of Cancer Therapy (NCI-MPACT): A Randomized Multicenter Phase II Trial,"PURPOSE This trial assessed the utility of applying tumor DNA sequencing to treatment selection for patients with advanced, refractory cancer and somatic mutations in one of four signaling pathways by comparing the efficacy of four study regimens that were either matched to the patient's aberrant pathway (experimental arm) or not matched to that pathway (control arm). MATERIALS AND METHODS Adult patients with an actionable mutation of interest were randomly assigned 2:1 to receive either (1) a study regimen identified to target the aberrant pathway found in their tumor (veliparib with temozolomide or adavosertib with carboplatin [DNA repair pathway], everolimus [PI3K pathway], or trametinib [RAS/RAF/MEK pathway]), or (2) one of the same four regimens, but chosen from among those not targeting that pathway. RESULTS Among 49 patients treated in the experimental arm, the objective response rate was 2% (95% CI, 0% to 10.9%). One of 20 patients (5%) in the experimental trametinib cohort had a partial response. There were no responses in the other cohorts. Although patients and physicians were blinded to the sequencing and random assignment results, a higher pretreatment dropout rate was observed in the control arm (22%) compared with the experimental arm (6%; P = .038), suggesting that some patients may have had prior tumor mutation profiling performed that led to a lack of participation in the control arm. CONCLUSION Further investigation, better annotation of predictive biomarkers, and the development of more effective agents are necessary to inform treatment decisions in an era of precision cancer medicine. Increasing prevalence of tumor mutation profiling and preference for targeted therapy make it difficult to use a randomized phase II design to evaluate targeted therapy efficacy in an advanced disease setting.",0
https://doi.org/10.1177/0148607116661840,Decision Aid for Nutrition Support in Pediatric Oncology: A Pilot Study,"Despite the importance of nutrition support in preventing malnutrition in pediatric oncology, the decision to initiate and choose which nutrition support method is most appropriate can be difficult for parents and healthcare professionals. Decision aids are decision-focused patient information materials. They can improve knowledge, reduce decisional conflict, improve patients' risk perception, and increase patient participation in the decision-making process. They have never been evaluated for pediatric oncology nutrition decisions. We aimed to develop and pilot test a decision aid to assist parents making these decisions in collaboration with their healthcare team.The decision aid was developed in accordance with the International Patient Decision Aid Standards guidelines and evaluated in a single-center pilot study. The parents and healthcare professionals of pediatric oncology patients were eligible. Participants read the decision aid and completed a questionnaire assessing acceptability, usability, and improvement in understanding.Thirty-one parents and 15 healthcare professionals participated. Parents found the decision aid balanced, relevant, and satisfactory overall. Some parents reported the decision aid was too long (26%). Healthcare professionals positively rated the development process, usefulness to parents, and content and format of the decision aid. Forty-three percent reported that using the decision aid would save them time. There were no significant associations between health literacy, decisional satisfaction, decisional regret, acceptability, and improvement in understanding.The decision aid appears acceptable and usable for our target population. Decision aid feedback provided critical data to make modifications before evaluating the decision aid in a randomized controlled trial.",0
https://doi.org/10.22034/apjcp.2016.17.10.4591,"Impact of Adjuvant Chemotherapy in Elderly Breast Patients in Taiwan, A Hospital-Based Study","Purpose: Decisions as to whether to provide adjuvant treatment in older breast cancer patients remains challenging. Side effects of chemotherapy have to be weighed against life expectancy, comorbidities, functional status, and frailty. To aid decision-making, we retrospectively analyzed 110 women with breast cancer treated with a curative intention from 2006 to 2012. Survival data with clinical and pathological parameters were evaluated to address the role of adjuvant chemotherapy in this study population. Method: A total of 110 elderly (>70 years) patients that received mastectomy at two hospitals in Taiwan were observed retrospectively for a medium of 51 months. After mastectomy, patients received conservative treatment or adjuvant chemotherapy, or hormone therapy following clinical guidelines or physician’s preference. Data were collected from the cancer registry system. Results: Median age at diagnosis was 75.7 years. Thirty-five percent of patients received adjuvant chemotherapy, these having a significantly younger age (mean=74.0±5.3 vs 77.5±5.3, p<0.001) and higher tumor staging (p=0.003) compared with their non-chemotherapy counterparts.Five-year overall survival was non-significantly higher in patients who received adjuvant chemotherapy (with chemotherapy 64.2% vs without chemotherapy 62.6%, p=0.635), while five-year recurrence free survival was non-significantly lower (with chemotherapy 64.1% vs without chemotherapy 90.5%, p=0.80). Conclusions: In this analysis, adjuvant chemotherapy tended to be given to patients with a younger age and higher tumor staging at our institute. It was not associated with any statistically significant improvement in survival and recurrence rate. Until age specific recommendations are available, physicians must use their clinical judgment and assess the tumor biology with the patient’s comorbidities to make the best choice. Clinical trials focusing on this critical issue are warranted.",0
https://doi.org/10.5489/cuaj.6521,Treatment decision-making in men with localized prostate cancer living in remote area: A cross-sectional observational study,"Introduction: For the management of localized prostate cancer, patient treatment choice is poorly documented among people living in remote areas where access to certain treatments offered in large centres involves travelling several hundred kilometres. This study aimed to describe and identify the determinants of treatment decision-making in men with localized prostate cancer living in remote areas.&#x0D; Methods: In this cross-sectional study, patients with prostate cancer were recruited from Rouyn-Noranda’s urology clinic (Quebec, Canada) between 2017 and 2019.&#x0D; Results: A total of 127 men (mean age 68.34±7.23 years) constituted the study sample. Radiotherapy, a treatment not available locally, was chosen most frequently (67.7%), followed by options available locally, such as surgery (22.8%) and active surveillance (9.4%). Most patients preferred to play an active role in this choice (53.5%) and agreed with the statement, “I chose that treatment because it gives the best chance for a cure” (86.6%). Multiple logistic regression analysis revealed that cancer stage (odds ratio [OR] 10.15; 95% confidence interval [CI] 3.18–32.40) was the only factor associated with radiotherapy choice (patients with lower stage cancer were more likely to choose radiotherapy). The socioeconomic status was not associated with treatment choice.&#x0D; Conclusions: While radiotherapy was not available locally, it was the most frequently chosen treatment, even though the available literature suggests that no one treatment option is superior in terms of cancer control. The choice of radiotherapy is not associated with patient income, but rather the cancer stage. This result could be explained by the patients’ desire to avoid surgery and its adverse effects.",0
https://doi.org/10.1007/s10549-018-4976-7,Physician attitudes about cost consciousness for breast cancer treatment: differences by cancer sub-specialty,"High costs of cancer care place considerable burden on patients and society. Despite increasing recognition that providers should play a role in reducing care costs, how physicians across cancer specialties differ in their cost-consciousness has not been reported. We examined cost-consciousness regarding breast cancer care among medical oncologists, surgeons, and radiation oncologists.We identified 514 cancer surgeons, 504 medical oncologists, and 251 radiation oncologists by patient report through the iCanCare study. iCanCare identified newly diagnosed women with breast cancer through the Surveillance, Epidemiology, and End Results (SEER) registries of Georgia and Los Angeles. We queried providers on three dimensions of cost-consciousness: (1) perceived importance of cost saving for society, patients, practice, and payers; (2) awareness of patient out-of-pocket expenses; and (3) discussion of financial burden.We received responses from 376 surgeons (73%), 304 medical oncologists (60%), and 169 radiation oncologists (67%). Overall levels of cost-consciousness were moderate, with scores ranging from 2.5 to 3.0 out of 5. After adjusting for covariates, surgeons had the lowest scores on all three cost-consciousness measures; medical oncologists had the highest scores. Pairwise contrasts showed surgeons had significantly lower scores than medical oncologists for all three measures and significantly lower scores than radiation oncologists for two of the three cost-consciousness variables: importance of cost saving and discussion of financial burden.How cost-consciousness impacts medical decision-making across specialty and how policy, structural, and behavioral interventions might sensitize providers regarding cost-related matters merit further examination.",0
https://doi.org/10.1007/s00261-017-1179-3,Fertility-sparing for young patients with gynecologic cancer: How MRI can guide patient selection prior to conservative management,"Historically, cancer treatment has emphasized measures for the ""cure"" regardless of the long-term consequences. Advances in cancer detection and treatment have resulted in improved outcomes bringing to the fore various quality of life considerations including future fertility. For many young cancer patients, fertility preservation is now an integral component of clinical decision-making and treatment design. Optimal fertility-sparing options for young patients with gynecologic cancer are influenced by patient age, primary cancer, treatment regimens, and patient preferences. Possible approaches include embryo or oocyte cryopreservation, ovarian transposition, conservative surgery, and conservative medical treatment to delay radical surgery. These may be used alone or in combination to maximize fertility preservation. Awareness of the various fertility-sparing options, eligibility criteria, and the central role of magnetic resonance imaging in the proper selection of patients will enable radiologists to produce complete clinically relevant imaging reports and serve as effective consultants to referring clinicians. Knowledge of the potential imaging pitfalls is essential to avoid misinterpretation and guide appropriate management.",0
