,record_id,NB + TF-IDF,Log + TF-IDF,RF + TF-IDF,SVM + TF-IDF,Log + Doc2Vec,RF + Doc2Vec,SVM + Doc2Vec,Log + SBERT,RF + SBERT,SVM + SBERT,Average-Record-TD,SD
0,88,10,17,9,23,112,142,179,72,11,60,63.888888888888886,65.49512280400054
1,400,55,220,283,95,332,162,170,98,56,62,163.44444444444446,98.88138236178628
2,466,243,167,588,444,302,353,336,422,449,837,367.1111111111111,125.13836786178375
3,490,27,36,156,31,141,57,704,75,23,91,138.88888888888889,217.54622752672847
4,542,18,20,39,18,178,6,143,64,5,33,54.55555555555556,63.316883828705414
5,588,3,2,18,5,157,85,168,61,20,36,57.666666666666664,65.81413222097515
6,624,150,170,678,235,726,505,802,1,78,4,371.6666666666667,307.09811135856893
7,733,26,33,29,50,60,2,84,69,13,57,40.666666666666664,26.95366394388711
8,734,17,19,40,17,166,9,136,67,7,38,53.111111111111114,58.973393247388366
9,753,240,172,319,197,353,352,478,8,108,223,247.44444444444446,143.79682812140808
10,758,246,159,278,186,297,255,301,274,180,295,241.77777777777777,53.47844841096686
11,1395,270,196,449,233,466,372,586,251,245,341,340.8888888888889,133.8473425627536
12,1405,64,218,316,110,563,407,659,121,73,86,281.22222222222223,220.41765910299574
13,1891,205,100,259,140,369,473,463,166,75,75,250.0,151.51155071478874
14,1959,7,5,15,8,86,20,63,55,15,35,30.444444444444443,29.656833576391424
15,2010,103,93,55,101,289,96,153,151,148,106,132.11111111111111,67.31909915552279
16,2255,125,120,169,132,384,477,490,20,84,92,222.33333333333334,178.0667009858946
17,2312,1337,927,1554,1006,2708,3286,3119,793,412,881,1682.4444444444443,1075.6445871094122
18,2377,43,221,360,92,150,89,125,92,32,51,133.77777777777777,101.99237444262411
19,2398,369,329,508,491,255,331,304,220,87,304,321.55555555555554,130.35347244234723
20,2475,5,16,13,12,42,45,36,54,9,25,25.77777777777778,18.356046536344486
21,2640,206,115,118,156,294,324,325,168,133,104,204.33333333333334,87.39422177695731
22,2768,100,94,601,116,431,195,329,135,88,207,232.11111111111111,182.5544058934517
23,3142,82,48,24,77,556,433,722,415,431,784,309.77777777777777,256.8480960498723
24,3186,20,22,43,25,101,49,184,70,19,173,59.22222222222222,54.21203228476538
25,3230,185,428,959,402,155,170,271,459,514,148,393.6666666666667,251.29066835041846
26,3376,218,151,353,196,311,121,426,48,115,258,215.44444444444446,124.4840462781387
27,3529,97,195,420,234,406,456,507,161,198,140,297.1111111111111,149.60819199198656
28,3621,235,173,347,195,396,335,472,3,110,3,251.77777777777777,148.74203993640953
29,3932,13,13,88,19,517,130,714,132,12,110,182.0,255.41143279031186
30,4056,9,31,68,14,110,21,114,60,17,39,49.333333333333336,40.90232267243512
31,4241,207,121,280,157,260,288,252,202,165,266,214.66666666666666,59.033888572581766
32,4421,226,253,285,143,252,3,129,169,158,108,179.77777777777777,86.28264277619482
33,4592,215,126,85,187,340,358,364,167,160,129,222.44444444444446,105.30326575077231
34,4597,180,129,171,167,326,317,459,53,94,197,210.66666666666666,130.30636975988548
35,4826,460,565,689,530,115,110,239,467,563,165,415.3333333333333,209.59305809114957
36,4842,209,116,174,146,330,316,407,164,153,107,223.88888888888889,101.4290940071492
37,4924,74,184,197,225,224,199,475,191,123,231,210.22222222222223,110.7009234127902
38,4990,8,6,57,9,92,33,128,58,4,31,43.888888888888886,43.89033049671774
39,5034,4,8,12,6,59,24,56,62,6,53,26.333333333333332,25.228951623085727
40,5147,221,112,126,164,600,412,663,266,290,361,317.1111111111111,201.02577225597494
41,5332,170,90,238,135,312,498,332,156,106,115,226.33333333333334,133.2159900312271
42,5386,98,144,141,166,89,84,208,386,689,319,222.77777777777777,197.82111728641217
43,5492,129,62,188,80,333,336,344,105,44,66,180.11111111111111,125.17532149393949
44,5655,493,502,473,258,787,483,898,9,297,20,466.6666666666667,267.5579376508946
45,5746,71,223,159,100,57,40,53,90,3,26,88.44444444444444,66.53591344362665
46,5791,275,193,322,182,228,191,88,100,21,17,177.77777777777777,94.79422157729047
