,NB + TF-IDF,Log + TF-IDF,RF + TF-IDF,SVM + TF-IDF,Log + Doc2Vec,RF + Doc2Vec,SVM + Doc2Vec,Log + SBERT,RF + SBERT,SVM + SBERT
NB + TF-IDF,0,0.5121,0.0000*,0.982,0.0000*,0.0000*,0.0000*,0.4037,0.0542,0.8298
Log + TF-IDF,,0,0.0000*,0.0264,0.0000*,0.0012,0.0000*,0.9875,0.1439,0.6036
RF + TF-IDF,,,0,0.0000*,0.0114,0.9707,0.0051,0.0015,0.0000*,0.0065
SVM + TF-IDF,,,,0,0.0000*,0.0008*,0.0000*,0.5962,0.0177,0.9207
Log + Doc2Vec,,,,,0,0.0017,0.0009*,0.0000*,0.0000*,0.0000*
RF + Doc2Vec,,,,,,0,0.0000*,0.0107,0.0001*,0.0272
SVM + Doc2Vec,,,,,,,0,0.0000*,0.0000*,0.0000*
Log + SBERT,,,,,,,,0,0.0556,0.8827
RF + SBERT,,,,,,,,,0,0.034
SVM + SBERT,,,,,,,,,,0
