,Group A,Group B,p-corr,T-value,Effect Size
0,Log + Doc2Vec,NB + TF-IDF,3.8612377295521583e-07,76.5,0.5362574268809587
1,NB + TF-IDF,SVM + Doc2Vec,4.69456793439349e-07,79.0,-0.6389393536950235
2,Log + TF-IDF,RF + TF-IDF,4.8090555537783075e-06,105.5,-0.4845980294536354
3,SVM + Doc2Vec,SVM + TF-IDF,7.8379952128671e-06,111.0,0.6595534225922239
4,RF + SBERT,SVM + Doc2Vec,9.947530799081505e-06,114.0,-0.7305540570343853
5,Log + TF-IDF,SVM + Doc2Vec,1.3589182898954277e-05,118.0,-0.6856398676176434
6,SVM + Doc2Vec,SVM + SBERT,1.795003461060835e-05,76.0,0.6361207696784216
7,Log + SBERT,SVM + Doc2Vec,2.488213347362489e-05,126.0,-0.6876104109280612
8,Log + Doc2Vec,Log + TF-IDF,3.102371543661775e-05,129.0,0.5887871249475451
9,RF + TF-IDF,SVM + TF-IDF,5.5001919818664646e-05,137.0,0.4460505094354233
10,RF + Doc2Vec,SVM + Doc2Vec,6.779344573715207e-05,140.5,-0.23403076602916237
11,Log + Doc2Vec,SVM + TF-IDF,8.918220594011927e-05,144.0,0.5589941435555721
12,Log + Doc2Vec,RF + SBERT,9.543403827194652e-05,145.0,0.6403046920565656
13,Log + Doc2Vec,Log + SBERT,0.00010918028785056322,146.5,0.5909405539307419
14,Log + Doc2Vec,SVM + SBERT,0.00021010360939044403,156.5,0.5327609074152787
15,NB + TF-IDF,RF + TF-IDF,0.00021010360939044403,157.5,-0.41718095239161457
16,RF + SBERT,RF + TF-IDF,0.0010099846915079917,152.0,-0.5514228342235156
17,NB + TF-IDF,RF + Doc2Vec,0.001975037322168305,195.5,-0.3252202866984374
18,RF + Doc2Vec,RF + SBERT,0.0023223634829605544,198.0,0.40304554531329967
19,Log + Doc2Vec,SVM + Doc2Vec,0.038790882859771614,257.0,-0.1394153577580392
20,RF + Doc2Vec,SVM + TF-IDF,0.038790882859771614,256.5,0.3367537546583191
21,Log + TF-IDF,RF + Doc2Vec,0.05194484950017397,264.5,-0.36039699527798164
22,Log + SBERT,RF + TF-IDF,0.06629113108303386,270.5,-0.4881067901979963
23,Log + Doc2Vec,RF + Doc2Vec,0.07472528782628274,273.0,0.11414533815155163
24,RF + TF-IDF,SVM + Doc2Vec,0.22936961960290603,303.0,-0.3237095911015858
25,RF + TF-IDF,SVM + SBERT,0.29236331263277293,309.5,0.41261111467904305
26,Log + SBERT,RF + Doc2Vec,0.4653947727662455,324.5,-0.3588759225013628
27,Log + Doc2Vec,RF + TF-IDF,0.5289175690034398,327.5,0.18732016973767923
28,RF + SBERT,SVM + TF-IDF,0.8100990679655398,323.5,-0.13266293906021648
29,RF + SBERT,SVM + SBERT,1.0,346.5,-0.14565089200744116
30,RF + Doc2Vec,SVM + SBERT,1.0,355.5,0.31975849882153656
31,Log + TF-IDF,SVM + SBERT,1.0,514.0,-0.06423701929365037
32,NB + TF-IDF,SVM + TF-IDF,1.0,515.5,0.005738360059398001
33,NB + TF-IDF,SVM + SBERT,1.0,543.0,-0.014423851146810298
34,NB + TF-IDF,RF + SBERT,1.0,381.5,0.12537882857527086
35,Log + TF-IDF,SVM + TF-IDF,1.0,355.5,-0.04528867003262153
36,Log + TF-IDF,RF + SBERT,1.0,424.5,0.08880316653248467
37,Log + TF-IDF,NB + TF-IDF,1.0,480.5,-0.04673135281494856
38,Log + SBERT,SVM + TF-IDF,1.0,492.0,-0.03635710428808419
39,Log + SBERT,SVM + SBERT,1.0,527.0,-0.05656745451918175
40,Log + SBERT,RF + SBERT,1.0,383.0,0.10455814075594339
41,Log + SBERT,NB + TF-IDF,1.0,484.0,-0.038603199185504505
42,Log + SBERT,Log + TF-IDF,1.0,562.0,0.011247358558064847
43,RF + Doc2Vec,RF + TF-IDF,1.0,560.0,0.03738952788222293
44,SVM + SBERT,SVM + TF-IDF,1.0,554.0,0.02164321153155444
